pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ABBUD_LIF_SIGNALING_1_DN	0.536779324055666	0.673511135666654	0.0751181635276301	-0.319111397593475	-0.93284920148765	26	DDC, AHNAK, HK2, LIMS1, REXO2, SYTL4, FOXA2, CYFIP1, EFNA2, GRIA2
ABBUD_LIF_SIGNALING_1_UP	0.270955165692008	0.465044689094327	0.11378726182188	0.353872520679745	1.13220939852994	40	ANXA8L1, IRF1, GPX3, BCL3, TNFRSF1A, ALDOC
ABDELMOHSEN_ELAVL4_TARGETS	0.0640776699029126	0.234665139644447	0.248911114434702	0.567385799711504	1.49574358036219	16	NCAM1, DLG4, PARP1, KMT5A, EIF2AK2, CDC42, RHOA, BCL2
ABE_INNER_EAR	0.0100371800856032	0.070843643451443	0.380730400722792	0.521255326852529	1.6483900565282	38	NENF, S100A13, IGFBP6, RPS5, RPL35, DDR2, HYI, UBA52, RPS15, RPS11, RAB1B, RPL32, RPL21, SELENOM, RPL28, C19orf53, UTY, USH1C, VAMP5, UBXN1, CRYM
ABE_VEGFA_TARGETS	0.439024390243902	0.603630918040434	0.0870515867946735	-0.385849157348682	-1.01105457346208	17	THBD, SLC4A7, PPY
ABE_VEGFA_TARGETS_2HR	0.18436873747495	0.38303831998598	0.143758989039275	0.39553857387088	1.20853590529125	32	CDKN1A, LDLR, PLPP3, APOE, MCM2, CDR1
ABE_VEGFA_TARGETS_30MIN	0.785433070866142	0.839816677844847	0.0560595875032335	0.266857167027654	0.778932357062996	24	CCN1, APOE, MCM2, PCDH17, C2, RCAN1, AURKC
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	0.822448979591837	0.867540776928532	0.0555947097758869	-0.275005938896152	-0.75351386619752	20	CDK9, PTEN, CDK5
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	0.762575452716298	0.822485644224605	0.0584693210386381	0.270346672332984	0.790220649360462	25	FAS, APOE, TNFRSF1A
ABRAMSON_INTERACT_WITH_AIRE	0.111332007952286	0.295885253390885	0.188204146308491	0.407640139477684	1.31933885355724	44	SRSF1, SNRPB, SRSF2, PCNA, MCM5, SRSF3, SNRPD3, NUP93, MCM2, NASP, PARP1, MYBBP1A, C1QBP, H2AC6
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	0.187984496124031	0.386145596549513	0.139599673451922	0.278555033379662	1.13712862983119	167	NBPF11, PRPF39, TREX2, H4C9, SCN8A, H2BC5, H4C5, NBPF15, POMP, RAPGEF4, ALPK2, TTC9, LGALS3, DTNA, CRMP1, PIK3C2B, PROX1, ZNF461, H2AC11, PLEKHH3, CHST4
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	0.0530785562632696	0.215789606713174	0.287857117255149	-0.287432198821528	-1.24318331811917	227	SMAD9, UBE2G2, F11, SEMA6D, CRB1, ZNF311, ADGRF1, TNIK, DYNC2H1, GSDME, MLLT3, PELI2, GLRB, LCA5, SPRED1, CALD1, TMEM71, HTR7, FRAS1, SLC16A9, WDR64, PRNP, CHRM3, GUCY1A1, TBC1D30, TMEM144, DSC3, ESRP1, SSBP2, SPIRE1, AKT3, TMEM243, ENDOD1, MAGEB2, HOMER1, DNASE2B, CLEC7A, ZNF471, COL3A1, PBX1, C3orf52, PTEN, TMPRSS7, ZNF827, BMPR1B, ADGRV1, LPAR3, OPHN1, AWAT2, MACROH2A2, IL6-AS1, CEP126, ZBTB46, DLC1, PRKAR2B, QSOX1, PRIM2, KLRK1, OSMR, TLR2, TENM3, OSBPL10, KDM4D, DOCK8, PRMT2
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	0.551652892561983	0.683809302395344	0.0756946307932749	-0.241380522953793	-0.953923423841041	110	GFPT1, RALGAPB, SLC24A1, TRAPPC9, NSF, SLC26A2, KDM5B, PTPDC1, C4orf33, SPATS2, BTBD8, SQSTM1, PIWIL1, NECAP1, CFAP69, OSBPL1A, KLHDC1, MMS22L, NUP210L, UTP20, CCL28, MYBL1, CEP128
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	0.789247311827957	0.842604007781938	0.059989249649033	-0.219607151260217	-0.845971829197374	101	MITF, ZDBF2, NEB, SEMA6D, WDR64, MINDY3, ENOX1, MAB21L4, PBDC1, DNASE2B, CRLF2, SLC9C1, PPP2R3A, LINC00994, FOXN2, HERC2P2, ANK2, LPAR3, EBF4, CEP126, CPQ, RPE65, TMEM192, TRPM2, TLR2, RFNG
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	0.00354208233871884	0.0399874749974375	0.431707695803346	-0.328599247344487	-1.43818915331933	250	HDHD2, C1RL, EPHX2, TNFRSF21, DENND4C, ANPEP, F12, LYRM1, ACP2, KRCC1, INHBE, ACOX3, SERPINA5, GHR, KAT6A, ZNF148, FOSB, CYP3A5, SLC22A1, PNPLA7, NOCT, TCIM, GSDME, HMGCL, B4GALT4, AIG1, PRNP, RBM25, RAP1GAP, MINDY3, SYNJ2BP, SPIRE1, CERS4, RAB33B, MT1G, NOP14, PIEZO1, TRIB1, ATF5, PDSS2, DCPS, HOOK1, PROC, TNFAIP8L1, ACADS, VPS37B, CPED1, MYCBP2, ENTPD5, PEX3, ATOH8, OCIAD1, TNPO3, PPP1R15A, RDH11, SAA4, SHBG, RAB3IL1, LTBP4, C2orf42, PMPCA, MYO10, PCNX1, HADHA, ACBD4, KLKB1, CHST7, ERLIN1, MARCHF6, RAB26, STAB2, SPTBN5
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	0.0742268041237113	0.246101491342208	0.237793834423688	-0.264945924261602	-1.20391324597981	340	ABHD14B, EEF2K, ZBED1, TAF15, MOCOS, INHBE, TBL1X, CNDP2, RETSAT, TSHZ2, SLC50A1, SHMT1, CDK9, FOXO4, CBS, TST, CAMK1, HSPA5, MAOA, BCL2L13, DESI1, PBX3, NOCT, DHRS1, MLLT3, RAB3GAP2, NUDT2, SLC25A15, SH3BP4, AARS1, AK3, FITM1, CYB561A3, MPND, PAM16, EML4, CYP39A1, PAFAH2, MANF, BPHL, PGRMC2, TRIB1, ATF5, BOK, GSTA2, TBC1D16, UBE2J1, FGFRL1, MICU1, ZCCHC14, HSD3B7, SPTAN1, ZNF281, VPS37B, KHDRBS3, MRPS18A, ZNF672, MEPCE, PPP1R15A, HPD, SH2B3, CMAS, SAA4, ALDH7A1, SAMD4A, FST, TNIP2, CACNA1H
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	0.697318007662835	0.77974067118579	0.0603786357920401	0.220715410382931	0.898452060166341	162	HNRNPA2B1, PNN, ZPR1, ZFP36L1, UQCRH, DYNLRB1, PNISR, RPL7A, RPL27A, SLC51A, ARPC5, CHKA, SESN1, HNRNPH3, USP49, MRPL51, SUMO2, YRDC, MICU2, GORASP1, RPL14, ZNF212, SPDYE3, M6PR, RPL23
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	0.273946360153257	0.467179435667102	0.111918316325105	0.27600858268905	1.0698523070256	109	ADAM8, SLC2A3, MINK1, LYPLA2, PTPRC, AMPD3, CBFA2T3, RHOC, CLEC11A, IRF4, TWNK, TRPV2, TAX1BP3, MPP1, RHOG, CMTM6, GTF2F1, CHPF2, ID1, MCAM
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	0.094	0.275004718464926	0.206587922696891	-0.340057499221383	-1.28366622580594	83	NR1D2, SLC27A2, NRTN, ODC1, CCNE1, XPO6, SORD, SLC39A4, URI1, VPS13C, CRYBG2, EIF3J, RGS16, ZNF460, EXPH5, OXCT1, SLC5A3, DUSP9, NUP210
