pathway	pval	padj	log2err	ES	NES	size	leadingEdge
SA_B_CELL_RECEPTOR_COMPLEXES	0.32258064516129	0.465313653136531	0.100990587455923	0.3762869514804	1.10501080535404	24	MAPK8IP3, HRAS, PAPPA, RAC1
SA_CASPASE_CASCADE	0.534979423868313	0.579561042524005	0.0770736734944102	-0.348465961669708	-0.947656800741291	18	DFFA, SCAP, XIAP, APAF1
SA_PTEN_PATHWAY	0.328629032258065	0.465313653136531	0.103576326612592	-0.403261807406651	-1.09550164595988	17	SOS1, PIK3CA, RBL2, AKT3, PTEN
SA_TRKA_RECEPTOR	0.33399209486166	0.465313653136531	0.101350743797099	0.413486957160882	1.11032070939527	17	CDKN1A, HRAS
SIG_BCR_SIGNALING_PATHWAY	0.508695652173913	0.579561042524005	0.0826646449123753	-0.293618413480013	-0.971522512388413	45	ITPR1, SOS1, SYK, PIK3CA, SOS2, PPP1R13B, PLCG2, PPP3CB, AKT3
SIG_CD40PATHWAYMAP	0.0331898229310706	0.431467698103918	0.321775918075361	0.487630739040437	1.54104180462356	34	MAPK8IP3, NFKBIE, DUSP1, NFKBIA, MAPKAPK5, TRAF2, MAPK13, MAP2K7, GORASP1, NFKB2
SIG_CHEMOTAXIS	0.357933579335793	0.465313653136531	0.0931454575337804	0.313128371644554	1.05143664031157	45	BTK, INPPL1, CFL1, PAK1, ARHGAP1, PAK3, LIMK1, PIK3CG, AKT2, ARHGEF11, PAK6, CDC42
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	0.329853862212944	0.465313653136531	0.105520936843198	-0.35851475966703	-1.08501582139493	27	SOS1, PIK3CA, SOS2, PPP1R13B, JAK1, AKT3
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	0.222916666666667	0.465313653136531	0.132147260608774	-0.339505065911435	-1.15040890580196	50	SOS1, PIK3CA, SOS2, SLC2A4, CBL, PARD3, AKT3, RPS6KB1, PTEN, NPY4R, RPS6KA3, YWHAG, SERPINB6, FOXO1, RPS6KA2, MAPK3, PARD6A
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.135306553911205	0.465313653136531	0.175204047558551	-0.411359218679314	-1.30199456765444	35	ITPR1, SYK, PIK3CA, PPP1R13B, PLCG2, AKT3, RPS6KB1, PITX2, PTEN, RPS6KA3, ITPR2, BCR, RPS6KA2, FOXO3, PIK3R5, SAG, FLOT1, ITPR3, VAV1, TEC
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	0.663366336633663	0.663366336633663	0.0643583367917361	-0.2480373925652	-0.891700677885802	66	SOS1, PIK3CA, SOS2, SLC2A4, PARD3, PPP1R13B, PTK2, AKT3, RPS6KB1, MET, PTEN, CREB1, MTOR, RPS6KA3, YWHAG, RPS6KA2, FOXO3, PARD6A, PIK3R5
SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES	0.10377358490566	0.465313653136531	0.190023305279108	0.424444451479373	1.34135646320687	34	CFL1, PFN1, FSCN3, PAK1, PAK3, LIMK1, VASP, PAK6, CDC42, FSCN1, RPS4X
WNT_SIGNALING	0.298597194388778	0.465313653136531	0.109250039480711	-0.291707464536927	-1.08226134252638	79	FZD6, PYGO1, FZD3, WNT2B, WNT9A, APC, DVL1, FBXW4, TCF7L1, TLE2, CSNK1G1, PITX2, WNT3, WNT4, LRP6, BTRC, LEF1, FZD5, WNT11, WNT10A, WNT5B, WNT5A
