pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.0985915492957746	0.182576943140323	0.20207170902116	-0.282293975309321	-1.2023955519781	195	EPHX2, ACOX1, SLC25A10, PTGER3, ATL2, JAGN1, CAT, RETSAT, PREB, TST, CYP4B1, BCL2L13, MCCC1, SLC1A5, DLD, BCKDHA, ECH1, CD36, NABP1, COQ9, PFKL, LIFR, SOWAHC, HIBCH, ESYT1, FAH, QDPR, SUCLG1, COQ3, ACADS, CRAT, PDCD4, DNAJB9, SLC19A1, UCP2, SSPN, IMMT, PPM1B, YWHAG, STAT5A, ALDH2
HALLMARK_ALLOGRAFT_REJECTION	0.0590551181102362	0.119922630560928	0.261663521711573	0.306579810166589	1.2666773456097	172	ICAM1, HLA-DRA, LIF, RPS19, IL6, PTPRC, STAB1, FAS, SRGN, IL1B, CD7, IL12A, EIF3D, CSF1, GLMN, BCL3, IRF4, EIF5A, NME1, SPI1, IL4R, CD79A, CAPG, RPL39, TLR3, BCAT1, TRAF2, B2M, SOCS1, RPS9, HLA-DQA1, CFP, IL18, IFNAR2, CXCL13, RPS3A, RPL9, CCND3, HLA-DMB
HALLMARK_ANDROGEN_RESPONSE	0.0562680815572163	0.119922630560928	0.321775918075361	-0.353157049634592	-1.37250863733046	99	H1-0, SPCS3, ZBTB10, APPBP2, NGLY1, ELK4, SORD, ADAMTS1, TMPRSS2, ACSL3, NKX3-1, GUCY1A1, SLC26A2, LIFR, FKBP5, PGM3, CDC14B, UBE2J1, PTPN21, SELENOP, BMPR1B, CDK6, DNAJB9, ZMIZ1
HALLMARK_ANGIOGENESIS	0.286561264822134	0.377054295818598	0.11101149245045	-0.364144769555984	-1.13605481620195	34	TNFRSF21, THBD, SERPINA5, PTK2, LUM
HALLMARK_APICAL_JUNCTION	0.0577583529571291	0.119922630560928	0.321775918075361	0.308244742381776	1.29550698760854	189	WNK4, BMP1, ICAM1, TGFBI, INPPL1, AMH, ITGA10, PLCG1, HRAS, CDH11, MMP2, PTPRC, ACTB, SORBS3, PFN1, ITGA9, LAMB3, MYL12B, TSC1, MYL9, INSIG1, NF2, DHX16, CLDN15, CD276, AMIGO2, CD99, MAPK13, ARPC2, LAMC2, GTF2F1, MAP3K20, GNAI2, NECTIN4, COL17A1, ACTN1, KRT31, VASP, AKT2, CNN2, VAV2, RAC2, ITGA2, ZYX, PKD1, MSN, ACTN4, FSCN1, CD274, CADM3, CNTN1, ADAMTS5, SGCE, CAP1, TAOK2, B4GALT1, TUBG1
HALLMARK_APICAL_SURFACE	0.834990059642147	0.834990059642147	0.0536769600638126	-0.237139696835167	-0.755598459277011	39	BRCA1, CRYBG1, SLC2A4, AKAP7, NTNG1, SLC34A3
HALLMARK_APOPTOSIS	0.0567514677103718	0.119922630560928	0.266350657088526	0.31507881524873	1.2913216443435	159	BTG2, CDKN1A, PMAIP1, BTG3, IRF1, BAX, IL6, MMP2, GPX3, IL1A, GADD45B, FAS, IGFBP6, IL1B, CASP2, NEDD9, HMGB2, BCL2L10, LGALS3, PAK1, DIABLO, CASP1, CAV1, FEZ1, GADD45A, CD38, IL18, SAT1, PSEN2, BCAP31, BCL2L2, TIMP2, DDIT3, IFITM3
HALLMARK_BILE_ACID_METABOLISM	0.000171736097624999	0.00180262627491397	0.518848077743792	-0.464455943413832	-1.81989504823888	103	EPHX2, BMP6, SLC27A2, CAT, ABCA3, PEX26, RETSAT, SLC23A2, CYP7B1, PECR, AKR1D1, ABCA4, HACL1, SLC22A18, SULT2B1, CYP27A1, KLF1, HSD17B4, ACSL5, CYP39A1, ISOC1, ATXN1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.467961165048544	0.55709662505779	0.0810802057550866	-0.268295668990603	-0.991117674019314	73	PDK3, ANTXR2, GLDC, ATXN2, CBS, CPEB2, ATF3, ECH1, LGMN, ATF5, STX5, TRIB3, ETHE1, PLSCR1, TM7SF2, NIBAN1, ERRFI1, MVD
HALLMARK_COAGULATION	0.607214428857715	0.645972796657144	0.0692836467392548	0.233601325820751	0.932186626052224	124	BMP1, HTRA1, F3, MMP2, S100A13, ISCU, KLF7, THBS1, F13B, CTSK, WDR1, MAFF, RAC1, MMP14, RAPGEF3, HPN
