Gene_ID	DMSO_24h_rep1	DMSO_24h_rep2	GSK591_24h_rep1	GSK591_24h_rep2
TRNP	0	0	0	0
TRNT	0	0	0	0
CYTB	0	0	0	0
TRNE	0	0	0	0
ND6	0	0	0	0
ND5	0	0	0	0
TRNL2	0	0	0	0
TRNS2	0	0	0	0
TRNH	0	0	0	0
ND4	0	0	0	0
ND4L	0	0	0	0
TRNR	0	0	0	0
ND3	0	0	0	0
TRNG	0	0	0	0
COX3	0	0	0	0
ATP6	0	0	0	0
ATP8	0	0	0	0
TRNK	0	0	0	0
COX2	0	0	0	0
TRND	0	0	0	0
TRNS1	0	0	0	0
COX1	0	0	0	0
TRNY	0	0	0	0
TRNC	0	0	0	0
TRNN	0	0	0	0
TRNA	0	0	0	0
TRNW	0	0	0	0
ND2	0	0	0	0
TRNM	0	0	0	0
TRNQ	0	0	0	0
TRNI	0	0	0	0
ND1	0	0	0	0
TRNL1	0	0	0	0
RNR2	0	0	0	0
TRNV	0	0	0	0
RNR1	0	0	0	0
TRNF	0	0	0	0
LILRP2	0	0	0	0
KIR3DL3	0	0	0	0
KIR2DS2	0	0	0	0
KIR2DL2	0	0	0	0
KIR3DP1	0	0	0	0
KIR2DL4	0	0	0	0
KIR3DS1	0	0	0	0
KIR2DL5A	0	0	0	0
KIR2DS5	0	0	0	0
KIR2DS1	0	0	0	0
KIR3DL2	2	0	0	2
KIR2DL3	0	0	0	0
KIR2DP1	0	0	0	0
LOC101928804	2	0	0	0
KIR2DL1	0	0	0	0
KIR3DL1	0	0	0	0
KIR2DS4	0	1	2	0
RNU6-222P	0	0	0	0
KIR2DL5B	0	0	0	0
NCR1	2	0	2	0
FCAR	96	43	118	57
LOC102725023	0	0	0	0
KIR2DS3	0	0	0	0
EPS8L1	2239	2573	2091	2720
RDH13	3154	3211	3067	3793
GP6	7	23	23	24
GP6-AS1	13	11	10	23
RPL36AP50	0	0	0	0
NLRP2	0	2	2	0
NLRP7	0	0	2	0
LILRP1	0	0	0	0
LILRB4	0	0	0	1
VN1R105P	0	0	0	0
MIR8061	0	0	0	0
LILRB1	2	0	0	0
LILRA1	0	0	0	0
LILRA2	2	0	0	0
LOC107985347	0	0	0	0
LOC105372461	0	0	0	0
KIR3DX1	0	0	0	0
LOC105372460	0	0	0	0
LAIR2	0	0	0	0
CDC42EP5	34	19	32	29
LENG9	1679	1559	1251	1375
LENG8	23130	21387	22613	25326
LENG8-AS1	366	319	345	269
TTYH1	0	0	7	2
LAIR1	0	0	1	0
LILRA4	0	0	0	0
VN1R104P	0	0	0	0
LILRA5	0	0	0	0
LILRA3	0	0	0	0
