DMSO_24h_rep1	DMSO_24h_rep2	GSK591_24h_rep1	GSK591_24h_rep2
TRNP	0	0	0	0
TRNT	0	0	0	0
CYTB	0	0	0	0
TRNE	0	0	0	0
ND6	0	0	0	0
ND5	0	0	0	0
TRNL2	0	0	0	0
TRNS2	0	0	0	0
TRNH	0	0	0	0
ND4	0	0	0	0
ND4L	0	0	0	0
TRNR	0	0	0	0
ND3	0	0	0	0
TRNG	0	0	0	0
COX3	0	0	0	0
ATP6	0	0	0	0
ATP8	0	0	0	0
TRNK	0	0	0	0
COX2	0	0	0	0
TRND	0	0	0	0
TRNS1	0	0	0	0
COX1	0	0	0	0
TRNY	0	0	0	0
TRNC	0	0	0	0
TRNN	0	0	0	0
TRNA	0	0	0	0
TRNW	0	0	0	0
ND2	0	0	0	0
TRNM	0	0	0	0
TRNQ	0	0	0	0
TRNI	0	0	0	0
ND1	0	0	0	0
TRNL1	0	0	0	0
RNR2	0	0	0	0
TRNV	0	0	0	0
RNR1	0	0	0	0
TRNF	0	0	0	0
LILRP2	0	0	0	0
KIR3DL3	0	0	0	0
KIR2DS2	0	0	0	0
KIR2DL2	0	0	0	0
KIR3DP1	0	0	0	0
KIR2DL4	0	0	0	0
KIR3DS1	0	0	0	0
KIR2DL5A	0	0	0	0
KIR2DS5	0	0	0	0
KIR2DS1	0	0	0	0
KIR3DL2	1.97464348007608	0	0	1.89712217027099
KIR2DL3	0	0	0	0
KIR2DP1	0	0	0	0
LOC101928804	1.97464348007608	0	0	0
KIR2DL1	0	0	0	0
KIR3DL1	0	0	0	0
KIR2DS4	0	1.02072188441642	2.07632140422428	0
RNU6-222P	0	0	0	0
KIR2DL5B	0	0	0	0
NCR1	1.97464348007608	0	2.07632140422428	0
FCAR	94.7828870436518	43.8910410299061	122.502962849232	54.0679818527231
LOC102725023	0	0	0	0
KIR2DS3	0	0	0	0
EPS8L1	2210.61337594517	2626.31740860345	2170.79402811648	2580.08615156854
RDH13	3114.01276807998	3277.53797086113	3184.03887337793	3597.89219591892
GP6	6.91125218026627	23.4766033415777	23.8776961485792	22.7654660432518
GP6-AS1	12.8351826204945	11.2279407285806	10.3816070211214	21.8169049581163
RPL36AP50	0	0	0	0
NLRP2	0	2.04144376883284	2.07632140422428	0
NLRP7	0	0	2.07632140422428	0
LILRP1	0	0	0	0
LILRB4	0	0	0	0.948561085135493
VN1R105P	0	0	0	0
MIR8061	0	0	0	0
LILRB1	1.97464348007608	0	0	0
LILRA1	0	0	0	0
LILRA2	1.97464348007608	0	0	0
LOC107985347	0	0	0	0
LOC105372461	0	0	0	0
KIR3DX1	0	0	0	0
