pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ABBUD_LIF_SIGNALING_1_UP	0.0653451133994948	0.17071745178722	0.287805130535564	-0.518166604381551	-1.55752068821868	20	IL1R1, RASA3, SOCS3
ABE_VEGFA_TARGETS_2HR	0.630252100840336	0.72314725770476	0.0504983044100709	0.356789645717147	0.88354925968953	18	MCM2, CDKN1A, PTGS2, LDLR
ABRAMSON_INTERACT_WITH_AIRE	0.0127613012606679	0.0510185634951546	0.380730400722792	0.661454380401417	1.67478689000635	22	LMNB1, MCM5, MCM2, TOP2A, H2BC17, PCNA
ACEVEDO_LIVER_CANCER_DN	0.00613787502865429	0.0283913784537994	0.407017918923954	-0.319330602384107	-1.45350900807115	209	PHGDH, C1RL, MT1X, SERPINF1, ACP2, EPHX2, SERPINF2, SRD5A1, SLC39A14, TBL1X, SMIM14, SHMT1, FERMT2, ALDH9A1, MT1F, FOSB, HMGCL, ETS2, CTSF, JUND, HDHD2, SHMT2, TRAPPC6A, CYP39A1, C3, ACADSB, BGN, COL6A1, ESPN, NADK, ZBED1, ACADS, MPC1, INHBE, EXOSC6, PDXK, ACOX3, LHPP, GLUD1, SERPINA5, LONP1, DGAT2, SLC7A5, PLPBP, ZNF395, DCPS, ACAT1, PPARGC1A, KLF2, PPP1R15A, ALKBH3, ALDH2, ACADVL, FAHD2B, EVL
ACEVEDO_LIVER_CANCER_UP	0.0936524453694069	0.216338278507134	0.14551614609036	0.343248705839779	1.21865856728863	293	STC1, CDC20, CCNA2, AURKA, TYMS, ASPM, IGFBP7, GINS2, DTL, PRC1, NT5E, SPARC, KPNA2, GGH, PLCG1, UBE2S, NUSAP1, CARD10, FAM83D, FAT1, PALLD, S100A10, IRAK2, CKS2, CENPN, RNASEH2A, RAC2, TYMSOS, MCM3, DOCK10, APAF1, GMNN, ASAP2, VIM, TRIM22, DTYMK, MDC1, PLCL2, TUBA1A, DNMT1, LCP1, UBE2T, SRGN, RFC4, MIS18A, IDI1, BTG3, LIPA, ARHGAP19, PAK1, DHX15, RMI2, FKBP11, DSN1, MCM4, RFX5, PLS3, RBBP7, JPT1
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	0.0315656565656566	0.106049530391636	0.287857117255149	0.497051003029534	1.4911753369406	56	ANLN, E2F7, H2BC11, H2BC17, H2BC10, H2AC11, H2AC17, H2AC12, COL27A1, H2AC4, CHST4, H4C4, H2BC7, H2AC13, H2AC14, LAMA3
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	0.170918367346939	0.322154206170657	0.116234148779716	0.423568454369042	1.24941624376903	52	ARHGDIB, AREG, CHST2, NAV3, PALLD, IL6, LRRC8C, SERPINB13, PRIM2, CREB5
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	0.0113832336441664	0.0467787391171215	0.380730400722792	0.537363095755852	1.58352953908714	51	CDCA2, H2BC11, PTPN22, NUSAP1, TUBB4B, POLE2, H2AC11, H2AC17, NCAPG2, H2AC12, H2AC4, KIF20B, MYBL1, H4C4, H2BC15, H2AC13, H2AC14
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	0.753501400560224	0.812474764680647	0.042331839351853	0.311285498933539	0.770863379686908	18	AMOTL1, CLIC1, ABCA13, B3GNT2, VCAN, SERPINB3
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	0.00949418620297203	0.0407653959163485	0.380730400722792	-0.384223770517159	-1.51131408846269	96	PHGDH, C1RL, MT1X, ACP2, FGL1, EPHX2, LTBP4, PGGHG, MT1F, FOSB, HMGCL, ETS2, JUND, HDHD2, C3, BGN, CTSD, SPIRE1, KRCC1, ACADS, INHBE, ACOX3, GLUD1, SERPINA5, DGAT2, SLC7A5, ZNF395, DCPS, PPARGC1A, PIEZO1, PPP1R15A, ACADVL, FAHD2B
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	0.119667013527575	0.250177217145532	0.126875729929857	0.343472313005646	1.21245204360087	270	STC1, CDC20, CCNA2, AURKA, TYMS, ASPM, GINS2, DTL, PRC1, SPARC, KPNA2, MCM5, F5, UBE2S, NUSAP1, TUBB4B, FAM83D, FAT1, S100A10, TUBA1C, CKS2, CENPN, RNASEH2A, TYMSOS, MCM3, DOCK10, GMNN, ASAP2, PEA15, TRIM22, DTYMK, MDC1, DCTPP1, SUV39H1, TUBA1A, PFN1, PGK1, DNMT1, DDX46, UBE2T, RFC4, SEC14L2
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	0.135955056179775	0.27521557355631	0.123257226381337	0.366339077658841	1.24480276071338	156	CSMD3, IL1B, PLCH2, DDIAS, IRS1, ANK1, TRIML2, FHOD3, MDM2, FRMPD1, THSD4, KRT81, MRGPRX4, BHLHE40, CLDN1, GALNT14, DPYSL3, CDH13, PTPRE, ARAP3, TNS4, CAVIN2, SRGN, CDCA7, BCAR1, KIRREL1, SV2B, FLG, HS6ST3, EDA2R, LUZP1, UNC5A, IKZF2, KRT86, SLCO3A1, NAV1, ZDHHC6, DMD, HMGXB3, MKNK1, WDFY4, EGFLAM, PLAU
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	0.130686406235345	0.2663421418637	0.249246554383295	-0.277992452777891	-1.18197547665947	131	PHGDH, MAOA, EEF2K, TBC1D16, TBL1X, SHMT1, CNDP2, MYOM1, AARS1, SLC50A1, TEF, SHMT2, TRAPPC6A, DYSF, CYP39A1, ACADSB, TAF15, MOCOS, ZBED1, INHBE, CBX7, PDXK, GLUD1, LONP1, DGAT2, SLC7A5
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	0.587982832618026	0.698936762547188	0.114750719227023	-0.258758734377569	-0.927859195582871	45	FGL1, HLA-B, FKBP5, GSTA4
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	0.501997336884154	0.637906370360422	0.0587185879555941	0.363002718810161	0.998499289759655	35	ADAM8, RHOC, RAC2, LYPLA2, SH3BP1, LASP1, MINK1, UGP2, BCL2L1, SLC2A3, CAPN1, CAP1, SERPINH1
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	0.692028985507246	0.770485760026963	0.0940503465727813	-0.253552566120787	-0.820316794394988	25	NRTN, NR1D2
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	0.154471544715447	0.29970922809532	0.127505315300183	0.483766079252423	1.29129719399733	29	CXCL8, BIRC5, IER3, NLRP1, ITGB5, ETV5
AFFAR_YY1_TARGETS_DN	7.34740060136355e-15	1.9274345413166e-13	0.986546283587582	0.723638287208074	2.36982502447757	114	TTK, HMMR, BUB1, CCNA2, PLK1, CCNB1, SHCBP1, AURKA, ASPM, KIF23, SPAG5, BIRC5, KIF20A, PRC1, TACC3, BUB1B, LMNB1, UHRF1, KIF2C, CDC6, CDT1, CHST2, MAD2L1, MCM5, CCNB2, AURKB, HELLS, FOXM1, NCAPG, TOP2A, CDCA3, TGFBI, MYO1B, HASPIN, TRIP13, PLK4, CENPE, FEN1, CDC25C, MCM7, DIAPH3, CENPA, KIF11, FADS2, LIG1, CHTF18, RACGAP1, MCM3, RAD51AP1, POLH, SMC2, STMN1, FDPS, TUBB2A, MCM6, RFC4, HMGCS1, IDI1, LDLR, RPS6KA4, RAD18
AFFAR_YY1_TARGETS_UP	0.509925558312655	0.642560954167155	0.0546808488785442	0.324393408677621	0.988752282638362	64	ITGB6, PSRC1, TGM2, CDKN1A, MDM2, SLC6A14, BTG2, NGFR, EHD1, BCL2L1, PLOD2, SERPINB3, SLC2A3, H2BC4, LGALS9, FAS, BAK1, TP53INP1
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN	0.600244498777506	0.703468919925902	0.0465084048719156	0.299732208089775	0.924107417379634	70	CARD10, YWHAH, RACGAP1, DUSP6, LYPLA2, STMN1, SH3BP1, CHEK2, HAUS6, SEC14L2, E2F2, FKBP11, SMAGP, NRG1, DDX23, UBXN8, RBPMS, HNRNPA1, MFNG
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP	1	1	0.102821842840815	-0.136464432043208	-0.534347306395746	94	OPLAH, FUT1, HLF, CASKIN2, SLC1A5, GFUS, SLC26A4, OSBPL1A, G6PC3, ZNF652, GARS1, PDK4
AIGNER_ZEB1_TARGETS	0.251428571428571	0.413900639145336	0.0988903007520636	0.495696908907563	1.20932644565247	16	PCDH7, PMEPA1, MPZL2, GJB2, SCEL
