Gene_ID	DMSO_rep1	DMSO_rep2	GSK_rep1	GSK_rep2
TRNP	0	0	0	0
TRNT	0	0	0	0
CYTB	0	0	0	0
TRNE	0	0	0	0
ND6	0	0	0	0
ND5	0	0	0	0
TRNL2	0	0	0	0
TRNS2	0	0	0	0
TRNH	0	0	0	0
ND4	0	0	0	0
ND4L	0	0	0	0
TRNR	0	0	0	0
ND3	0	0	0	0
TRNG	0	0	0	0
COX3	0	0	0	0
ATP6	0	0	0	0
ATP8	0	0	0	0
TRNK	0	0	0	0
COX2	0	0	0	0
TRND	0	0	0	0
TRNS1	0	0	0	0
COX1	0	0	0	0
TRNY	0	0	0	0
TRNC	0	0	0	0
TRNN	0	0	0	0
TRNA	0	0	0	0
TRNW	0	0	0	0
ND2	0	0	0	0
TRNM	0	0	0	0
TRNQ	0	0	0	0
TRNI	0	0	0	0
ND1	0	0	0	0
TRNL1	0	0	0	0
RNR2	0	0	0	0
TRNV	0	0	0	0
RNR1	0	0	0	0
TRNF	0	0	0	0
LILRP2	0	0	0	0
KIR3DL3	0	0	0	0
KIR2DS2	0	0	0	0
KIR2DL2	0	0	0	0
KIR3DP1	0	0	0	0
KIR2DL4	0	1	4	1
KIR3DS1	0	0	0	0
KIR2DL5A	0	0	0	0
KIR2DS5	0	0	0	0
KIR2DS1	0	0	0	0
KIR3DL2	0	0	0	5
KIR2DL3	2	0	0	0
KIR2DP1	0	0	0	0
LOC101928804	0	0	0	0
KIR2DL1	0	2	3	2
KIR3DL1	0	0	0	1
KIR2DS4	0	4	4	10
RNU6-222P	0	0	0	0
KIR2DL5B	0	0	0	0
NCR1	0	0	0	0
FCAR	72	78	728	1044
LOC102725023	0	0	0	0
KIR2DS3	0	0	0	0
EPS8L1	4203	4273	2941	3942
RDH13	3259	3657	2845	3228
GP6	14	15	18	25
GP6-AS1	31	31	54	74
RPL36AP50	0	0	0	0
NLRP2	0	4	0	2
NLRP7	0	0	4	0
LILRP1	0	0	0	0
LILRB4	0	0	0	0
VN1R105P	0	0	0	0
MIR8061	0	0	0	0
LILRB1	0	0	0	0
LILRA1	0	0	0	0
LILRA2	0	0	4	0
LOC107985347	0	0	0	0
LOC105372461	0	0	0	0
KIR3DX1	0	2	0	8
LOC105372460	0	0	0	0
LAIR2	0	0	2	0
CDC42EP5	6	4	85	64
LENG9	2975	2610	1820	1735
LENG8	26313	29255	23774	23414
LENG8-AS1	272	408	210	216
TTYH1	25	24	15	14
LAIR1	2	2	6	4
LILRA4	0	0	0	0
VN1R104P	0	0	0	0
LILRA5	0	0	0	0
LILRA3	0	0	0	0
MIR4752	0	0	0	0
