DMSO_rep1	DMSO_rep2	GSK_rep1	GSK_rep2
TRNP	0	0	0	0
TRNT	0	0	0	0
CYTB	0	0	0	0
TRNE	0	0	0	0
ND6	0	0	0	0
ND5	0	0	0	0
TRNL2	0	0	0	0
TRNS2	0	0	0	0
TRNH	0	0	0	0
ND4	0	0	0	0
ND4L	0	0	0	0
TRNR	0	0	0	0
ND3	0	0	0	0
TRNG	0	0	0	0
COX3	0	0	0	0
ATP6	0	0	0	0
ATP8	0	0	0	0
TRNK	0	0	0	0
COX2	0	0	0	0
TRND	0	0	0	0
TRNS1	0	0	0	0
COX1	0	0	0	0
TRNY	0	0	0	0
TRNC	0	0	0	0
TRNN	0	0	0	0
TRNA	0	0	0	0
TRNW	0	0	0	0
ND2	0	0	0	0
TRNM	0	0	0	0
TRNQ	0	0	0	0
TRNI	0	0	0	0
ND1	0	0	0	0
TRNL1	0	0	0	0
RNR2	0	0	0	0
TRNV	0	0	0	0
RNR1	0	0	0	0
TRNF	0	0	0	0
LILRP2	0	0	0	0
KIR3DL3	0	0	0	0
KIR2DS2	0	0	0	0
KIR2DL2	0	0	0	0
KIR3DP1	0	0	0	0
KIR2DL4	0	0.954535611586429	4.25058087744251	0.950248845202896
KIR3DS1	0	0	0	0
KIR2DL5A	0	0	0	0
KIR2DS5	0	0	0	0
KIR2DS1	0	0	0	0
KIR3DL2	0	0	0	4.75124422601448
KIR2DL3	2.03194568955095	0	0	0
KIR2DP1	0	0	0	0
LOC101928804	0	0	0	0
KIR2DL1	0	1.90907122317286	3.18793565808188	1.90049769040579
KIR3DL1	0	0	0	0.950248845202896
KIR2DS4	0	3.81814244634572	4.25058087744251	9.50248845202896
RNU6-222P	0	0	0	0
KIR2DL5B	0	0	0	0
NCR1	0	0	0	0
FCAR	73.1500448238341	74.4537777037415	773.605719694537	992.059794391824
LOC102725023	0	0	0	0
KIR2DS3	0	0	0	0
EPS8L1	4270.13386659132	4078.73066830881	3125.23959013961	3745.88094778982
RDH13	3311.05550112327	3490.73673157157	3023.22564908099	3067.40327231495
GP6	14.2236198268566	14.3180341737964	19.1276139484913	23.7562211300724
GP6-AS1	31.4951581880397	29.5906039591793	57.3828418454739	70.3184145450143
RPL36AP50	0	0	0	0
NLRP2	0	3.81814244634572	0	1.90049769040579
NLRP7	0	0	4.25058087744251	0
LILRP1	0	0	0	0
LILRB4	0	0	0	0
VN1R105P	0	0	0	0
MIR8061	0	0	0	0
LILRB1	0	0	0	0
LILRA1	0	0	0	0
LILRA2	0	0	4.25058087744251	0
LOC107985347	0	0	0	0
LOC105372461	0	0	0	0
