Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
BSR/Beta:Satellite:Satellite	260.9835523	-0.679397504	0.211796506	-3.207784288	0.001337618	0.009991413
CER:Satellite:Satellite	256.959228	1.212889669	0.216506254	5.60209992	2.12E-08	4.72E-07
ERV3-16A3_I-int:ERVL:LTR	3578.269608	-0.291355681	0.110032717	-2.64790045	0.008099337	0.044977228
Eulor12:DNA:DNA?	11.0556728	-3.271583199	1.167569456	-2.802045893	0.005077965	0.030682819
HERV3-int:ERV1:LTR	893.4359364	0.561479701	0.140822613	3.987141613	6.69E-05	0.000739232
HERV9-int:ERV1:LTR	211.217751	0.646282138	0.232135233	2.784076036	0.005368045	0.032064568
HERVE-int:ERV1:LTR	658.6596506	-1.050650344	0.153660555	-6.837475898	8.06E-12	3.05E-10
HERVH-int:ERV1:LTR	8256.546565	2.248565348	0.422047807	5.327750348	9.94E-08	1.98E-06
HERVK11-int:ERVK:LTR	411.075449	-0.754194219	0.179388467	-4.204251437	2.62E-05	0.000320183
HERVK22-int:ERVK:LTR	964.8914123	-0.427993737	0.150073074	-2.851902244	0.004345846	0.026951381
HERVK9-int:ERVK:LTR	958.5084968	-0.488999787	0.138396866	-3.533315466	0.000410382	0.003664783
HERVL-int:ERVL:LTR	3201.416377	-0.318076304	0.115888443	-2.744676651	0.006057055	0.035377214
HERVL18-int:ERVL:LTR	476.5689336	-1.040051524	0.178636402	-5.822170149	5.81E-09	1.42E-07
HERVL74-int:ERVL:LTR	1059.411221	1.674396488	0.14052446	11.91533832	9.85E-33	2.28E-30
HERVS71-int:ERV1:LTR	872.5225167	0.470150606	0.142684858	3.295028032	0.000984119	0.007730145
HUERS-P3b-int:ERV1:LTR	793.7210159	-0.714246225	0.15557125	-4.591119663	4.41E-06	6.49E-05
L1M2a1:L1:LINE	84.75437728	-0.941176148	0.36092461	-2.607680726	0.009115794	0.049535187
L1M3de:L1:LINE	538.7353471	-0.448912707	0.16365268	-2.743081915	0.00608655	0.035522445
L1M3e:L1:LINE	904.3559948	0.415055706	0.148919742	2.78711003	0.005318042	0.031817336
L1MEa:L1:LINE	243.7152163	-1.189276189	0.25477958	-4.667863058	3.04E-06	4.66E-05
L1PA11:L1:LINE	3121.476822	-0.33359055	0.125390736	-2.660408264	0.007804598	0.043600227
L1PA8:L1:LINE	5068.451257	-0.376066251	0.126647874	-2.969384643	0.002983968	0.019773686
L1PBb:L1:LINE	425.7577885	0.49563173	0.182448593	2.716555504	0.006596513	0.037991849
L1PREC2:L1:LINE	6047.605052	-0.424921957	0.122028996	-3.482139261	0.000497425	0.004307542
LTR15:ERV1:LTR	185.0576622	-0.643124708	0.242625239	-2.650691704	0.008032713	0.044651998
