Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_000016.5	379.6597799	-0.514269074	0.192597245	-2.670178774	0.007581087	0.042573347
NM_000017.3	266.6990742	-1.14463249	0.21885679	-5.230052451	1.69E-07	3.25E-06
NM_000018.3	1976.412879	-0.615839397	0.127307823	-4.837404187	1.32E-06	2.19E-05
NM_000019.3	894.265886	-0.647682602	0.140023511	-4.625527494	3.74E-06	5.61E-05
NM_000027.3	191.841818	-1.287273041	0.250426713	-5.140318402	2.74E-07	5.09E-06
NM_000029.3	46.36104096	-2.237796159	0.565981324	-3.953833921	7.69E-05	0.000835981
NM_000034.3	10102.25708	0.635688341	0.102991307	6.172252416	6.73E-10	1.97E-08
NM_000037.3	11.98396449	3.929109133	1.157792281	3.393621808	0.000689749	0.005694581
NM_000041.3	41.7080289	-1.796029001	0.517354467	-3.471563727	0.000517437	0.004454867
NM_000043.5	249.3083759	0.745010004	0.213180161	3.494743598	0.000474517	0.004138221
NM_000049.2	45.5256414	2.199821795	0.489107717	4.497622337	6.87E-06	9.64E-05
NM_000050.4	8089.81935	-1.402866894	0.11660165	-12.0312782	2.43E-33	5.96E-31
NM_000057.3	71.33827305	2.821199376	0.435020532	6.485209701	8.86E-11	2.89E-09
NM_000059.3	1355.760718	2.158793331	0.140786531	15.33380581	4.55E-53	3.31E-50
NM_000064.3	299762.6133	-0.840389744	0.105352587	-7.97692555	1.50E-15	8.90E-14
NM_000070.2	100.7259478	-0.975227391	0.333455564	-2.92460974	0.003448884	0.022278161
NM_000071.2	44.37212434	-4.403160869	0.674990753	-6.52329065	6.88E-11	2.27E-09
NM_000076.2	623.7854546	-1.568875955	0.159870875	-9.813394408	9.86E-23	1.15E-20
NM_000104.3	8189.262099	0.384697294	0.109053252	3.527609548	0.00041933	0.003734407
NM_000107.2	902.6414936	1.33966053	0.158933741	8.429050511	3.48E-17	2.43E-15
NM_000108.4	1951.160609	-0.312907388	0.12006928	-2.606056995	0.009159122	0.049706709
NM_000110.3	1242.416543	-0.43549386	0.132652544	-3.282966506	0.001027209	0.008015209
NM_000112.3	6118.326473	0.718654293	0.112778142	6.372283474	1.86E-10	5.85E-09
NM_000118.3	1098.275644	1.099556169	0.135584417	8.109753263	5.07E-16	3.15E-14
NM_000120.3	2723.86937	-0.532376893	0.120937076	-4.402098257	1.07E-05	0.000143033
NM_000122.1	555.9968041	0.494338821	0.161612355	3.058793502	0.002222303	0.01536175
NM_000124.3	2534.209763	0.312626831	0.118366445	2.641177847	0.008261834	0.04570149
NM_000127.2	3156.613059	0.495836469	0.125845088	3.940054216	8.15E-05	0.000879829
NM_000130.4	381.5517126	2.660287636	0.232631298	11.43563939	2.77E-30	5.61E-28
NM_000132.3	352.145039	-0.543988328	0.187149189	-2.906709511	0.003652522	0.023363446
NM_000135.2	145.4819848	1.230741604	0.275926738	4.460392684	8.18E-06	0.000112347
NM_000137.2	3431.805539	-0.643562672	0.117300592	-5.486440115	4.10E-08	8.69E-07
NM_000140.3	738.55431	-0.491756666	0.152617644	-3.222148193	0.001272333	0.009594298
NM_000142.4	790.4016458	-0.894450555	0.206257936	-4.336563097	1.45E-05	0.000188278
NM_000148.3	145.4206376	-1.943147533	0.295798585	-6.569157643	5.06E-11	1.71E-09
NM_000152.4	1197.933295	-1.628466923	0.134406507	-12.1159828	8.69E-34	2.19E-31
NM_000154.1	463.6097851	-1.495685604	0.180740199	-8.275334494	1.28E-16	8.56E-15
NM_000158.3	6613.200622	0.423971414	0.128628523	3.296091756	0.0009804	0.007706365
NM_000169.2	535.4317499	1.293123145	0.1720059	7.517899928	5.57E-14	2.70E-12
NM_000177.4	75.66412937	0.942089901	0.360600836	2.612556066	0.008986795	0.048957646
NM_000186.3	4985.272685	-1.230113502	0.108131428	-11.37609598	5.50E-30	1.10E-27
NM_000188.2	1501.508014	0.422899549	0.125289644	3.375375134	0.000737151	0.006020653
NM_000191.2	576.9442819	-1.151799571	0.160148331	-7.19207976	6.38E-13	2.78E-11
NM_000194.2	1952.137104	0.911342385	0.141002935	6.463286637	1.02E-10	3.30E-09
