baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_000331.5	254.278572185951	1.83583297341079	0.448791543867135	4.09061400219763	4.30232666095868e-05	0.0173363684499995
NM_000479.3	48.3953701749291	2.70191832026254	0.630017386444174	4.28864088261468	1.7976975823712e-05	0.00959910082176729
NM_000538.3	168.735429636123	-1.15702550569731	0.310776393436713	-3.72301606599644	0.000196856990070051	0.0448340030933018
NM_000773.3	49.9082548288362	-1.4945186555756	0.358409566801909	-4.16986262088706	3.04783306966376e-05	0.0143455858453759
NM_000821.6	411.030955919872	-1.15151224029057	0.209915483991138	-5.48559933929971	4.1206990910731e-08	0.000174558307763311
NM_001008215.2	1077.89721079518	-1.07774063735243	0.208529578882806	-5.16828664368101	2.36249780371578e-07	0.000580825259800307
NM_001008396.2	282.603258003956	-0.938484264691828	0.246456633119604	-3.80790832371871	0.000140147207003669	0.0396343065069212
NM_001009936.2	375.018039089967	1.02852513099601	0.258938295132569	3.97208582249076	7.1246040665716e-05	0.0242091760212884
NM_001010917.2	351.872757577692	1.36968583216545	0.371625311637282	3.68566346068028	0.000228107618151563	0.0486389740690825
NM_001012511.2	332.8863220652	0.973047879236521	0.229789333100906	4.23452153372685	2.2903883807284e-05	0.0114803070953518
NM_001024844.1	46.858351791751	2.80747676300824	0.748747736669725	3.7495629375727	0.000177143035757231	0.0429066709606867
NM_001034.3	1877.79518887848	-1.09008977155332	0.259538448069388	-4.20010899988846	2.66786513970327e-05	0.0130542823984477
NM_001040152.1	590.759467925332	-0.909448741802868	0.22258795167987	-4.08579500794748	4.39261483813842e-05	0.0173363684499995
NM_001080421.2	126.503826156489	1.12751607086221	0.305801505736866	3.68708475828241	0.000226837819676121	0.0486389740690825
NM_001080463.1	507.213316856123	-1.08484704045752	0.266165352188257	-4.0758386902673	4.5848795207848e-05	0.0176565099702853
NM_001081563.2	57.2661767824492	1.68634189126166	0.454335383669356	3.71166752992522	0.000205898321504957	0.0463942948406666
NM_001085.4	129.769926084066	2.54622727373909	0.327667739374299	7.77075972935654	7.80167631032618e-15	4.95734116110746e-10
NM_001126050.1	1953.76841526889	0.872856192958499	0.229337870554463	3.80598368184121	0.000141241695346885	0.0396343065069212
NM_001126051.1	1952.88966150293	0.874233456137872	0.2295600076738	3.80830034376084	0.000139925257993662	0.0396343065069212
NM_001126131.1	1638.26826558662	1.33220624620259	0.357477932159472	3.72668107973807	0.000194017697939555	0.0444994467727781
NM_001135924.1	49.5677385475016	-1.94348614533039	0.396115876971168	-4.90635760472647	9.27832928760534e-07	0.001511701537418
NM_001136123.1	412.921597209025	-0.920895026527396	0.213124752385183	-4.32092010065095	1.55379933013888e-05	0.00866065938909513
NM_001137664.1	210.769670093617	-1.11703660285598	0.302314641830329	-3.69494707928471	0.000219932590061734	0.0484989747460792
NM_001142269.3	406.447024571894	-1.16094200002318	0.211428735582327	-5.49093762882161	3.99805534493281e-08	0.000174558307763311
NM_001142633.2	59.8801476978465	2.58102217516976	0.592802742941745	4.35393089168517	1.33717876327419e-05	0.00791969470658209
NM_001142703.1	293.553250154592	-1.11422745686058	0.283734831823335	-3.92700272187358	8.60110081784383e-05	0.0283176760708514
NM_001142704.1	288.177941204961	-1.12166244384083	0.283462982375652	-3.95699796298049	7.58975777659887e-05	0.0253825467705603
NM_001145134.1	113.8711458928	1.68732278284597	0.452596612920004	3.72809414538019	0.000192933308228564	0.0444994467727781
NM_001145135.1	116.065092533949	1.69263238572213	0.450728399479665	3.75532668382146	0.000173115524392816	0.0427993867738453
NM_001145137.1	110.78214680815	1.69781447901411	0.456765533359006	3.71703719965155	0.000201572772984007	0.0455812709642341
NM_001163940.1	2292.48258628578	-0.920444021520351	0.249011214484997	-3.69639585680511	0.000218681905132101	0.0484989747460792
NM_001164098.1	92.0497090987417	-1.46803422329249	0.38625575401555	-3.8006792339808	0.000144299998726105	0.0396343065069212
NM_001165931.1	1878.65304688301	-1.08872404444376	0.259228458295463	-4.19986313077885	2.6707637653807e-05	0.0130542823984477
NM_001172437.2	590.759467925332	-0.909448741802868	0.22258795167987	-4.08579500794748	4.39261483813842e-05	0.0173363684499995
