baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
NM_001034077.4	1143.308641	2.424703721	0.511453523	4.740809502	2.13E-06	0.022827359
NM_001042422.2	151.3170333	2.702758819	0.649310303	4.162507211	3.15E-05	0.046154311
NM_001042423.2	152.8089171	2.704126291	0.648722915	4.168384113	3.07E-05	0.046154311
NM_001085.4	108.1995447	2.647491492	0.484151704	5.468309772	4.54E-08	0.003131135
NM_001199579.1	180.4999052	2.594846395	0.581899859	4.45926624	8.22E-06	0.02862894
NM_001199580.1	180.9760197	2.599211381	0.580766562	4.475483872	7.62E-06	0.02862894
NM_001206950.1	151.3170333	2.702758819	0.649310303	4.162507211	3.15E-05	0.046154311
NM_001206951.1	152.2128273	2.712469024	0.64794474	4.186265984	2.84E-05	0.046154311
NM_001206952.1	154.3271253	2.734927436	0.641431413	4.263787801	2.01E-05	0.043285152
NM_001255.2	2815.727699	1.719882531	0.395565877	4.347904178	1.37E-05	0.036430755
NM_001258311.1	566.7846557	1.608651689	0.384486915	4.183891903	2.87E-05	0.046154311
NM_002229.2	2518.45084	2.446643473	0.547442916	4.469221173	7.85E-06	0.02862894
NM_003519.3	362.2752195	2.737660164	0.597235027	4.583890831	4.56E-06	0.02862894
NM_003524.2	614.3678729	2.498108776	0.553843864	4.510492828	6.47E-06	0.02862894
NM_003538.3	449.3028048	2.655908089	0.578949016	4.587464549	4.49E-06	0.02862894
NM_003539.3	536.6895018	2.317316005	0.517919565	4.474277784	7.67E-06	0.02862894
NM_003544.2	1037.493329	2.126313194	0.512713955	4.147172459	3.37E-05	0.046444668
NM_004207.3	151.3170333	2.702758819	0.649310303	4.162507211	3.15E-05	0.046154311
NM_005030.5	697.4292024	2.029712054	0.451004898	4.500421305	6.78E-06	0.02862894
NM_005764.3	163.5541719	2.702436973	0.645632774	4.185718389	2.84E-05	0.046154311
NM_006427.3	154.269657	3.095237932	0.687484672	4.502264644	6.72E-06	0.02862894
NM_014501.2	2065.222018	2.414315876	0.49986264	4.829958636	1.37E-06	0.022827359
NM_015374.2	180.0802257	2.590923061	0.581525665	4.455389013	8.37E-06	0.02862894
NM_018942.2	150.3191172	2.588431179	0.629198418	4.113855195	3.89E-05	0.049657797
NM_020650.2	119.8300412	2.857573454	0.683465657	4.181005184	2.90E-05	0.046154311
NM_021066.2	295.1373192	2.939681735	0.607475566	4.839176911	1.30E-06	0.022827359
NM_021709.2	118.6658142	2.948106625	0.69391532	4.248510643	2.15E-05	0.044940187
NM_031454.1	201.9358967	2.616143962	0.605619086	4.319784538	1.56E-05	0.038941965
NM_133467.2	61.65775908	3.285089393	0.73829231	4.449578237	8.60E-06	0.02862894
NM_145030.2	222.8657473	2.522073792	0.575840067	4.379816443	1.19E-05	0.034106987
NR_002995.1	46.63222795	3.708456126	0.859051058	4.316921668	1.58E-05	0.038941965
NR_027033.2	78.65067162	2.744790342	0.641432743	4.279155334	1.88E-05	0.041705559
NR_110479.1	73.9594979	2.700737917	0.651262814	4.146924801	3.37E-05	0.046444668
NR_119376.1	207.4710859	2.301571822	0.519892858	4.427011812	9.55E-06	0.02862894
NR_132278.1	78.2425764	3.066325975	0.645474706	4.750497499	2.03E-06	0.022827359
XM_005259089.3	120.0398809	2.860451253	0.683655928	4.184050975	2.86E-05	0.046154311
XM_005268325.3	1398.954655	1.680466294	0.331546447	5.06856976	4.01E-07	0.01381112
XM_006716616.2	163.8133551	2.788908777	0.638960361	4.36476024	1.27E-05	0.035081115
XM_006718223.2	54.79679367	3.223692493	0.770993295	4.181219879	2.90E-05	0.046154311
XM_006720869.2	123.9266321	2.612852444	0.608007363	4.297402637	1.73E-05	0.041066478
XM_011515535.2	114.4189672	3.045952683	0.729337826	4.176326218	2.96E-05	0.046154311
XM_011523607.1	189.1706117	2.664110699	0.629451781	4.232430157	2.31E-05	0.046154311
XM_011526752.1	1051.102279	2.419937892	0.521628016	4.639202298	3.50E-06	0.02862894
XM_011527143.1	120.2497207	2.863323337	0.683845839	4.187088922	2.83E-05	0.046154311
XM_011530104.2	178.8211873	2.579088574	0.580395716	4.443672655	8.84E-06	0.02862894
XM_011530105.2	179.2408668	2.583044209	0.580773597	4.447592351	8.68E-06	0.02862894
XM_011531191.2	236.886802	2.352004359	0.497941173	4.723458288	2.32E-06	0.022827359
XM_011536360.2	166.0691356	2.728467321	0.660476751	4.131057328	3.61E-05	0.047261186
XM_017000537.1	275.9031484	2.090314559	0.50618416	4.129553475	3.63E-05	0.047261186
XM_017002330.1	578.7401709	1.576518042	0.380707099	4.14102612	3.46E-05	0.04672107
XM_017012655.1	111.4582053	3.02747244	0.72913505	4.152142238	3.29E-05	0.046444668
XM_017027023.1	120.2497207	2.863323337	0.683845839	4.187088922	2.83E-05	0.046154311
XR_929661.2	175.2002412	-2.031251019	0.458120056	-4.433883633	9.26E-06	0.02862894
7SK:RNA:RNA	60818.77432	1.963041712	0.458184462	4.284391712	1.83E-05	0.041705559
