baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
SAA1	203.5943431	1.777742033	0.430756222	4.127025783	3.67E-05	0.037240951
COA5	1178.869168	-1.173658935	0.284041381	-4.131999811	3.60E-05	0.037240951
SERPINA3	97.05639842	2.448801245	0.422796293	5.791917496	6.96E-09	0.000164546
H3C13	44.45014834	2.905437593	0.671051505	4.329678973	1.49E-05	0.025836462
VWDE	59.86115322	-2.058122419	0.507816751	-4.05288407	5.06E-05	0.049161079
GGCX	450.896238	-1.234904979	0.301622825	-4.094202685	4.24E-05	0.042325369
CDC20	2386.508081	1.383003424	0.281096046	4.920038697	8.65E-07	0.006283667
PGBD5	488.113332	1.298137912	0.310236101	4.184354785	2.86E-05	0.033172495
TMBIM4	201.9853788	-1.48062701	0.356907761	-4.14848645	3.35E-05	0.035972085
STK32C	95.23349162	-1.965064538	0.413619955	-4.750893944	2.03E-06	0.007328352
TAF15	224.875056	-1.633967948	0.34032329	-4.801222829	1.58E-06	0.006580529
H3C3	299.0499455	2.048978979	0.445173227	4.602655447	4.17E-06	0.010959606
PLK1	535.3173814	1.519884561	0.320188284	4.746846275	2.07E-06	0.007328352
RELN	74.6471726	2.281666279	0.490064156	4.655852201	3.23E-06	0.009155069
ESM1	755.7653961	1.470916545	0.300760959	4.890649869	1.01E-06	0.006283667
PIK3R5	45.90895857	2.526785064	0.602514753	4.19373144	2.74E-05	0.033172495
UBE2S	1243.020978	1.478579577	0.349050833	4.236000714	2.28E-05	0.03287007
SLCO4A1	165.352702	1.598953884	0.367674184	4.348833707	1.37E-05	0.024964604
C5orf15	1413.869637	-1.283568914	0.292614336	-4.386555115	1.15E-05	0.024027117
ACAD11	570.4638428	-1.478302028	0.304414667	-4.856211569	1.20E-06	0.006283667
SIAE	83.59413923	-1.794287026	0.424433433	-4.227487485	2.36E-05	0.03287007
SNORA40	222.9188419	1.413613547	0.337527122	4.188148015	2.81E-05	0.033172495
B3GALT9	132.4159018	-1.621750234	0.378730382	-4.282070596	1.85E-05	0.029188971
MIR22HG	420.0678577	1.462643636	0.30308316	4.825882239	1.39E-06	0.006580529
MIR612	134.4405942	2.288383197	0.533224108	4.291597404	1.77E-05	0.029188971
NMRAL2P	85.34378993	2.907582937	0.54077575	5.376688836	7.59E-08	0.001076387
MIR23AHG	279.1718188	1.526348974	0.321114343	4.753288061	2.00E-06	0.007328352
PCID2	1744.295269	2.069887769	0.309768977	6.682037016	2.36E-11	8.36E-07
MAPK8IP3	95.71886795	2.152538522	0.454537072	4.735672082	2.18E-06	0.0073752
TAFAZZIN	276.8254278	2.599098828	0.368904549	7.045450732	1.85E-12	1.31E-07
MILR1	61.8883195	2.343190128	0.499672437	4.68945244	2.74E-06	0.008832977
HELLS	1680.585198	-1.305725351	0.300790413	-4.340980607	1.42E-05	0.025156077
LOC105373510	37.24817737	-2.495299456	0.585834654	-4.259392027	2.05E-05	0.031075137
LOC105376059	171.3023446	-2.304490937	0.42208338	-5.459800229	4.77E-08	0.000845352
LOC105372345	53.50389495	-2.595654142	0.58523606	-4.435225918	9.20E-06	0.020607076
L1M2a1:L1:LINE	232.7960927	-1.758420069	0.351398424	-5.004063612	5.61E-07	0.006283667
