## RunInfo	version:1.0.3	nmap_idx:80369784	nunmap_idx:0	annotated_features:13545	total_fragments:80369784	pair_mapped:57014585	pair_mixed:23355199	single_mapped:0	unmapped:0	unique:80369784	ambig:0	overlap_unique:275737	overlap_ambig:0
transcript	transcript_length	final_count	final_conf	final_prop	init_aligned	unique_count	init_best	init_best_random	init_best_avg	init_prop
L1FLnI_15q23j	8814	16660	16660.00	0.0842	16660	16660	16660	16660	16660.00	0.0842
L1FLnI_12q23.3d	10138	14497	14497.00	0.0844	14497	14497	14497	14497	14497.00	0.0844
L1FLnI_16p11.2c	8579	10963	10963.00	0.00906	10963	10963	10963	10963	10963.00	0.00906
L1FLnI_7p14.1v	9369	8952	8952.00	0.00758	8952	8952	8952	8952	8952.00	0.00758
L1FLnI_8q21.11w	10016	8662	8662.00	0.0155	8662	8662	8662	8662	8662.00	0.0155
L1FLnI_12q23.1ea	10055	7852	7852.00	0.0024	7852	7852	7852	7852	7852.00	0.0024
L1FLnI_15q26.2e	10019	7417	7417.00	0.00811	7417	7417	7417	7417	7417.00	0.00811
L1FLnI_10p11.22u	10178	7299	7299.00	0.0341	7299	7299	7299	7299	7299.00	0.0341
L1FLnI_6p22.3e	9889	7062	7062.00	0.0363	7062	7062	7062	7062	7062.00	0.0363
L1FLnI_1q32.3d	9464	6982	6982.00	0.0424	6982	6982	6982	6982	6982.00	0.0424
L1FLnI_8q11.1k	9978	6676	6676.00	0.0125	6676	6676	6676	6676	6676.00	0.0125
L1FLnI_Xq23d	10025	6533	6533.00	0.0359	6533	6533	6533	6533	6533.00	0.0359
L1FLnI_3q22.3h	10142	5927	5927.00	0.0336	5927	5927	5927	5927	5927.00	0.0336
L1FLnI_8p12u	10456	5599	5599.00	0.00611	5599	5599	5599	5599	5599.00	0.00611
L1FLnI_8q24.12e	9969	5565	5565.00	0.0226	5565	5565	5565	5565	5565.00	0.0226
L1ORF2_4q31.21	8044	3729	3729.00	0.00573	3729	3729	3729	3729	3729.00	0.00573
L1FLnI_11p15.1c	10114	3565	3565.00	5.4e-05	3565	3565	3565	3565	3565.00	5.4e-05
