"","count_MCF10A","count_MDAMB436"
"L1FLnI_15q23j",14.5241903088706,12.035048756299
"L1FLnI_12q23.3d",14.3235696461451,11.4697705482461
"L1FLnI_16p11.2c",13.9204910715919,12.0952732527079
"L1FLnI_7p14.1v",13.6281609303379,11.2402308572126
"L1FLnI_8q21.11w",13.5806566439389,12.6777415083146
"L1FLnI_12q23.1ea",13.4390344051112,11.6821049128829
"L1FLnI_15q26.2e",13.3568211404062,12.3755703810393
"L1FLnI_10p11.22u",13.333687442932,12.0198985373713
"L1FLnI_6p22.3e",13.2860722998172,12.3346819226106
"L1FLnI_1q32.3d",13.2696382552106,11.3498224171506
"L1FLnI_8q11.1k",13.2049916430427,11.3321255653005
"L1FLnI_Xq23d",13.1737582175555,10.4922779250708
"L1FLnI_3q22.3h",13.0333379738669,9.30100764647267
"L1FLnI_8p12u",12.9512198354318,10.3162374724351
"L1FLnI_8q24.12e",12.9424339701436,12.3883756188372
"L1ORF2_4q31.21",12.3649730029622,11.8415376179514
"L1FLnI_11p15.1c",12.3001046760163,10.908896211648
"L1FLnI_4p13m",12.2043505967047,10.5334693302531
"L1FLnI_8p23.1h",12.1506182013676,8.24505351305484
"L1FLnI_20p11.23d",12.1325562464558,10.3025706635647
"L1FLnI_1q31.1k",12.0971371797373,8.53084856637755
"L1FLnI_2q32.1f",11.9062229784442,11.7700230001677
"L1FLnI_1q24.3e",11.8799381201506,10.7101035089686
"L1FLnI_12q21.31ea",11.7550485219725,-0.451890008743207
"L1FLnI_4q23c",11.7167663450914,9.70587498843537
"L1FLnI_Xq22.1ga",11.6817944266821,11.0382216565489
"L1FLnI_8q21.3da",11.567457073297,8.50018520410558
"L1FLnI_Xq13.2da",11.567457073297,9.80271542319315
"L1FLnI_8q24.12o",11.4908370257343,10.1394014443334
"L1FLnI_15q11.2i",11.4908370257343,9.74919280563613
"L1FLnI_3q26.2a",11.4359265541034,9.52523203759131
"L1FLnI_6q24.2g",11.4046600361728,9.81974773370815
"L1FLnI_1q42.2c",11.2065251562632,7.25530736969186
"L1FLnI_14q32.12f",11.197865670752,9.26829449702147
"L1FLnI_15q11.2a",11.1662539618128,9.33930876114065
"L1FLnI_6q22.1ia",11.0943560859699,0.915221551100886
