## RunInfo	version:1.0.3	nmap_idx:63972115	nunmap_idx:0	annotated_features:13545	total_fragments:63972115	pair_mapped:63858888	pair_mixed:113227	single_mapped:0	unmapped:0	unique:63972115	ambig:0	overlap_unique:348623	overlap_ambig:0
transcript	transcript_length	final_count	final_conf	final_prop	init_aligned	unique_count	init_best	init_best_random	init_best_avg	init_prop
L1FLnI_10p11.22u	10178	11007	11007.00	0.0454	11007	11007	11007	11007	11007.00	0.0454
L1FLnI_Xq23d	10025	6648	6648.00	0.0169	6648	6648	6648	6648	6648.00	0.0169
L1FLnI_Xq13.1a	10407	5253	5253.00	0.0119	5253	5253	5253	5253	5253.00	0.0119
L1FLnI_12q13.11a	10137	4862	4862.00	0.0213	4862	4862	4862	4862	4862.00	0.0213
L1FLnI_6p22.3e	9889	4432	4432.00	0.0183	4432	4432	4432	4432	4432.00	0.0183
L1FLnI_Xq13.3pa	8895	4205	4205.00	0.00842	4205	4205	4205	4205	4205.00	0.00842
L1FLnI_12q23.3d	10138	3435	3435.00	0.00868	3435	3435	3435	3435	3435.00	0.00868
L1FLnI_2q32.1f	10168	3289	3289.00	0.0105	3289	3289	3289	3289	3289.00	0.0105
L1FLnI_1p31.1rc	10009	2409	2409.00	0.00556	2409	2409	2409	2409	2409.00	0.00556
L1FLnI_14q32.12f	9876	2280	2280.00	0.00616	2280	2280	2280	2280	2280.00	0.00616
L1FLnI_3q21.1c	10178	2210	2210.00	0.00469	2210	2210	2210	2210	2210.00	0.00469
L1FLnI_8q24.12o	10785	2133	2133.00	0.00597	2133	2133	2133	2133	2133.00	0.00597
L1FLnI_8q23.1b	10144	2045	2045.00	0.00485	2045	2045	2045	2045	2045.00	0.00485
L1FLnI_Xq28sa	9220	2027	2027.00	0.00421	2027	2027	2027	2027	2027.00	0.00421
L1FLnI_4q35.2k	10076	1899	1899.00	0.00973	1899	1899	1899	1899	1899.00	0.00973
L1FLnI_6q24.2g	9494	1749	1749.00	0.00612	1749	1749	1749	1749	1749.00	0.00612
L1FLnI_6q25.3e	9025	1680	1680.00	0.00357	1680	1680	1680	1680	1680.00	0.00357
L1FLnI_18q21.32b	8591	1616	1616.00	0.0103	1616	1616	1616	1616	1616.00	0.0103
L1FLnI_12p13.32g	10346	1487	1487.00	0.0112	1487	1487	1487	1487	1487.00	0.0112
L1FLnI_9p11.2d	8887	1446	1446.00	0.00304	1446	1446	1446	1446	1446.00	0.00304
