Locus,GSK_rep1,GSK_rep2,LLY_rep1,LLY_rep2
L1FLnI_10p11.22u,13.00857929,13.50094466,12.7419085,13.61664556
L1FLnI_12q13.11a,11.54311096,12.64908779,11.56876238,12.7596139
L1FLnI_12q23.3d,11.49471539,12.04618182,11.071708,12.21198828
L1FLnI_Xq13.1a,11.48729208,12.14704372,11.67960224,12.37203871
L1FLnI_Xq23d,11.37062482,12.27308186,12.01741652,12.45626087
L1FLnI_Xq13.3pa,11.18551291,12.61004381,11.36089455,12.76798522
L1FLnI_14q32.12f,11.07799037,11.22381628,10.48761327,11.45921852
L1FLnI_3q21.1c,10.69767812,10.78601846,10.44329957,10.82022562
L1FLnI_6p22.3e,10.57780005,11.91044776,11.43614948,12.14485989
L1FLnI_2q32.1f,10.50355333,10.85920238,11.00967835,11.19636479
L1FLnI_8q24.12o,10.42527681,10.70045038,10.39292878,11.08432414
L1FLnI_Xq28sa,10.38448585,10.64854546,10.32057782,10.69259718
L1FLnI_8q23.1b,10.34347551,11.41069129,10.33312246,11.29713971
L1FLnI_9q22.32c,10.22769832,9.617649906,9.699475198,9.744060774
L1FLnI_18q21.32b,10.06590829,10.29609583,9.999710678,10.49391274
L1FLnI_1p31.1rc,10.04820982,11.10447495,10.5658737,11.28028716
L1FLnI_6q24.2g,9.991305111,10.39523103,10.11154857,10.73797493
L1FLnI_6q25.3e,9.955039786,10.50511646,10.05461059,10.6718251
L1FLnI_1q24.3e,9.943597078,10.17136487,9.639007652,10.34287019
L1FLnI_6q21f,9.90478549,10.75157792,9.793260035,10.8124317
L1FLnI_1p22.1d,9.90478549,11.07774006,9.805316254,11.03063203
L1FLnI_4q35.2k,9.87162513,10.50633209,10.22807918,10.54452828
L1FLnI_12p13.32g,9.867594163,10.21067547,9.882265853,10.29892061
L1FLnI_5q33.1a,9.840429249,10.541147,9.592222815,10.50500812
L1FLnI_20q13.13,9.805737419,9.756954407,9.70913292,9.884509615
L1FLnI_8p23.1h,9.778802021,9.590393151,9.651305683,9.710901424
L1FLnI_3q26.32p,9.752811726,9.176222485,9.342090064,9.191624348
L1FLnI_6q15i,9.668821222,9.704955779,9.448429478,9.634645655
L1FLnI_Xq23ab,9.595971125,9.490720843,9.696241532,9.468855229
L1FLnI_20p11.23d,9.591089734,9.267974401,8.879230577,9.242243783
L1FLnI_9p11.2d,9.589458926,9.940836236,9.842842705,10.01443
L1FLnI_Xq23bb,9.577991333,9.110575415,9.524550748,9.103096887
L1FLnI_13q34a,9.524374595,9.383644453,9.141100335,9.466018627
L1FLnI_5p13.2v,9.508928628,10.07306019,9.781102185,10.20168233
L1FLnI_1q32.2g,9.481053868,9.948011813,9.473832666,9.901404209
L1FLnI_19q13.11a,9.41996806,9.85945491,9.773962487,10.13182047
L1FLnI_4q31.1e,9.390301146,9.209451997,9.36941911,9.393227089
L1FLnI_14q11.2j,9.380903652,10.32807148,9.377517831,10.16717431
L1FLnI_5p12k,9.350413367,9.154670569,9.297256745,9.387241876
L1FLnI_10p12.33a,9.340751402,10.31702973,9.61066131,10.44865758
L1FLnI_2q11.1b,9.325156314,9.550875685,9.047749455,9.703695563
L1FLnI_10q22.2e,9.319264395,8.448375392,9.109029526,8.425633619
L1FLnI_6q22.1ka,9.263080075,10.17900827,9.418651623,10.31477105
L1FLnI_3q13.33d,9.261032431,9.865151897,9.004818339,9.981045105
L1FLnI_14q11.2c,9.256928398,9.765102931,9.326835332,9.930501777
L1FLnI_1q21.2f,9.24039444,10.03818435,9.150584089,9.892981649
L1FLnI_1q32.1k,9.234144994,9.488261663,9.839915331,9.53260294
L1FLnI_15q22.2a,9.185310816,10.14037971,8.909342053,10.0771099
L1FLnI_15q11.1f,9.141458747,9.02152623,9.018695902,8.969247915
L1FLnI_19q13.31b,9.136999276,9.885850413,9.305769866,10.01443
L1FLnI_3q12.1c,9.10539065,9.964027521,9.150584089,10.0771099
L1FLnI_10q26.12g,9.080059784,9.206462582,9.003074212,9.399187561
L1FLnI_15q11.1e,9.070737076,9.560271803,9.291553277,9.399187561
L1FLnI_4q13.2o,9.032831372,9.018120092,9.321247898,9.359996666
L1FLnI_6q14.1ia,9.008623943,9.247760653,9.358549569,9.408082326
L1FLnI_15q11.2h,9.003733288,9.581191873,9.40682995,9.44888083
L1FLnI_7q33b,8.976533992,9.550875685,8.883029096,9.570069795
L1FLnI_20q11.22,8.951353927,8.91200305,8.752068834,8.856770389
L1FLnI_7p15.3g,8.948811556,8.531990934,8.780860136,8.543413297
L1FLnI_Xq25q,8.946264694,9.160861205,9.089438896,9.268531289
L1FLnI_7q22.1f,8.941157428,8.871048935,9.259774433,9.124844516
L1FLnI_3q26.2a,8.915346057,9.299177161,9.502503604,9.538015314
L1FLnI_2q14.1ga,8.891713879,9.313140043,8.997829132,9.5244461
L1FLnI_12p11.23e,8.856879512,9.068385911,9.172473206,9.21884236
L1FLnI_3p21.2m,8.851444853,9.592684327,8.964159588,9.762672206
L1FLnI_10q22.2f,8.851444853,8.061433009,8.890596232,8.135220372
L1FLnI_4q12eb,8.815611043,9.139076671,8.962365531,9.463176434
L1FLnI_2p13.1a,8.815611043,9.004414476,8.828916554,8.969247915
L1FLnI_9p21.1z,8.810018198,8.588220978,8.650975228,8.543413297
L1FLnI_14q11.2d,8.793108235,9.427947025,9.181753468,9.577973313
L1FLnI_22q11.1c,8.790270515,8.89353168,8.594165001,9.177820196
L1FLnI_10q22.2g,8.77886342,8.326918149,8.626254286,7.992500061
L1FLnI_16p11.2l,8.767365304,9.233146764,9.242140687,9.616853957
L1FLnI_8q24.13n,8.767365304,9.362315644,8.558971378,9.004870984
L1FLnI_10q25.3l,8.761581656,9.380995542,8.745823706,9.128437438
L1FLnI_18p11.22g,8.741154096,9.626622202,8.815064873,9.950932132
L1FLnI_6q25.3i,8.729349849,8.915669085,8.470823161,8.895246497
L1FLnI_2q36.2,8.717448098,9.502954231,8.762417605,9.681859411
L1FLnI_7p15.3e,8.717448098,9.285077741,8.729036479,9.554131614
L1FLnI_8q22.3j,8.705447216,9.3406666,8.570798385,9.265271442
L1FLnI_12q21.31ea,8.702431312,9.110575415,8.884924608,9.31025196
L1FLnI_2p13.2a,8.699409082,8.761226545,8.884924608,8.834942407
L1FLnI_9q13d,8.675000265,9.519908477,8.561344561,9.471686262
L1FLnI_1p34.2b,8.668832895,7.839771991,8.844585715,7.665838071
L1FLnI_16p12.2b,8.634432194,9.651012018,8.56371384,9.614294272
L1FLnI_2q11.2e,8.634432194,8.126215629,9.100899093,8.359866999
L1FLnI_1p32.3h,8.621716344,8.90094866,8.279361035,8.706191058
L1FLnI_8p21.2m,8.599189895,8.468490866,8.287987719,8.803816905
L1FLnI_Xq21.1pc,8.56306372,8.889808828,8.473345998,8.953128375
L1FLnI_11q22.2a,8.553051821,9.285077741,8.999579613,9.300730704
L1FLnI_1q42.12a,8.553051821,8.473476135,9.258313163,8.781165469
L1FLnI_15q23j,8.553051821,9.659779762,9.081196902,9.892981649
L1FLnI_6q22.1v,8.54633835,8.126215629,7.144747012,8.372050183
L1FLnI_10q23.31a,8.526008117,8.50789802,8.720568948,8.734765568
L1FLnI_22q12.1c,8.515734364,8.966037916,8.101528338,9.000956063
L1FLnI_11q14.1s,8.487973911,8.81718366,9.072907514,8.928605926
L1FLnI_Xq21.1oc,8.487973911,9.045146472,8.400980182,9.307085189
L1FLnI_16q12.1n,8.480949375,8.707245679,8.662073303,8.865409845
L1FLnI_11p15.2f,8.477424216,8.789476699,8.264867321,8.861096591
L1FLnI_1q42.2c,8.452503487,9.265104015,8.612589169,9.491349384
L1FLnI_5q13.3b,8.448907915,9.310358263,8.947932119,9.275028955
L1FLnI_6q14.2j,8.448907915,8.930240684,8.659860517,9.181283645
L1FLnI_20p11.21u,8.430794139,7.915076444,7.887244305,7.63578441
L1FLnI_1q42.12b,8.427143879,8.08769723,8.51312166,8.284519805
L1FLnI_8q21.3da,8.423484342,8.624524103,8.220489264,8.611774659
L1FLnI_12p13.33a,8.397603802,8.871048935,8.190124867,8.949070164
L1FLnI_1q44b,8.390123106,7.824225568,8.498334223,8.258501351
L1FLnI_1q31.2m,8.371249531,9.402051823,8.393006525,9.399187561
L1FLnI_11p12ma,8.348269713,7.605124152,8.193190303,7.798322339
L1FLnI_1p22.2q,8.32491712,8.417665295,8.190124867,8.290951587
L1FLnI_5q31.1d,8.297184808,8.270736893,8.313561825,8.62200969
L1FLnI_8q23.1y,8.29317907,9.253564985,8.733251657,9.713295399
L1FLnI_6q24.2j,8.277043697,8.483395198,8.071851586,8.554143923
L1FLnI_Xq26.3h,8.272981431,8.769354689,8.143341879,8.758152276
L1FLnI_9p11.2f,8.252496315,8.855863193,8.319183778,8.861096591
L1FLnI_9p21.1w,8.248364068,7.784606952,8.261950981,7.807333662
L1FLnI_14q12ya,8.248364068,9.495626659,8.754144542,9.710901424
L1FLnI_5q22.1j,8.21062999,8.126215629,7.225135395,8.177498595
L1FLnI_6q14.1b,8.193536343,7.792618596,8.174698947,7.919609777
L1FLnI_4p15.31r,8.193536343,8.407281301,8.165363379,8.341396697
L1FLnI_1q44c,8.193536343,7.816388796,8.50574692,8.076844242
L1FLnI_3q13.33x,8.189231012,8.637905329,8.608005171,8.916186447
L1FLnI_1q42.2b,8.176237181,8.417665295,8.101528338,8.681938298
L1FLnI_16p12.3b,8.167508971,8.041415195,8.114523979,8.039118107
L1FLnI_5p13.3x,8.167508971,8.282149944,8.610298993,8.632172516
L1FLnI_1q24.3l,8.154316563,8.132536263,8.296563007,8.384131135
L1FLnI_Xq26.2a,8.13205677,8.659934824,8.04833871,8.652285584
L1FLnI_5q31.1l,8.13205677,8.685933136,8.071851586,8.843713314
L1FLnI_9p21.3i,8.127563178,8.844367947,8.214467428,9.238923887
L1FLnI_5q33.1b,8.118533662,8.23006304,8.051721321,8.290951587
L1FLnI_15q21.2m,8.113997559,8.034680183,8.333143346,8.477294397
L1FLnI_12p13.2d,8.109447107,7.74386415,8.055095995,7.877458571
L1FLnI_2q35h,8.104882213,8.422829344,7.986050153,8.211805547
L1FLnI_5p13.1r,8.086476367,8.642338259,8.055095995,8.878272691
L1FLnI_13q31.3m,8.077184356,7.451508831,8.127403259,7.665838071
L1FLnI_9p21.1la,8.077184356,8.468490866,7.781138836,8.596284458
L1FLnI_1p22.2r,8.063132794,8.402061085,7.89480082,8.258501351
L1FLnI_11q13.5b,8.058418264,9.273698087,7.975401217,9.156862936
L1FLnI_9p21.3f,8.053688227,6.872078382,8.455592621,7.173893704
L1FLnI_8q11.21f,8.053688227,8.801416401,7.772958305,8.632172516
L1FLnI_5q15z,8.044181222,9.129638722,8.623985749,9.319710756
L1FLnI_2p23.3a,8.034610944,8.601942086,7.864333346,8.390133808
L1FLnI_19q11c,8.034610944,8.235944446,8.044948123,8.05432753
L1FLnI_7q32.3a,8.034610944,8.386285909,8.007114266,8.303729565
L1FLnI_2q22.3d,8.034610944,8.370335972,7.97183397,8.570091445
L1FLnI_1p11.2g,8.034610944,8.628998336,7.793322906,8.706191058
L1FLnI_5q15o,8.029801813,8.259232615,7.793322906,8.316395107
L1FLnI_6q16.3c,8.024976543,8.473476135,7.950242555,8.64728358
L1FLnI_7q32.1,8.024976543,9.893304103,8.214467428,9.869562748
L1FLnI_13q14.11g,8.024976543,8.560380327,7.856614444,8.64728358
L1FLnI_22q11.23b,8.020135026,8.396821874,7.617127396,8.163543447
L1FLnI_7p21.1k,7.990738478,7.944126913,7.924635666,7.584251787
L1FLnI_10q22.3h,7.975811681,9.097725041,7.946612242,9.146268945
L1FLnI_1q42.12d,7.975811681,7.667479663,8.235434522,7.486550951
L1FLnI_2q31.1ba,7.970801439,7.768448303,7.982509265,7.798322339
L1FLnI_2q37.1e,7.970801439,8.728247557,7.735557922,8.585864337
L1FLnI_1q25.1o,7.960728261,8.194260681,7.756456078,8.471644984
L1FLnI_9p21.1aa,7.960728261,7.915076444,8.014067609,7.21522883
L1FLnI_9p11.2e,7.950583993,8.588220978,8.226486006,8.821685139
L1FLnI_18q12.2j,7.950583993,7.958434881,7.789273025,7.960559806
L1FLnI_8q11.23n,7.945484884,9.362315644,7.978959635,9.21884236
L1FLnI_Xq13.1ja,7.94036762,8.304708085,7.844957764,8.616901264
L1FLnI_7q11.21v,7.94036762,8.23006304,7.909795669,8.353736524
L1FLnI_7q11.23a,7.94036762,7.892896599,7.975401217,7.860245649
L1FLnI_9p21.1v,7.94036762,7.649938662,8.162238012,7.605087569
