"transcript","MCF10A_norm","MDAMB_norm","log2FoldChange"
"L1FLnI_15q23j",17061.4192199982,5793.40901981605,-1.55808878449309
"L1FLnI_12q23.3d",14846.3021868135,3914.67668303431,-1.92286725966664
"L1FLnI_16p11.2c",11227.1511950084,6040.4564632702,-0.894152097130137
"L1FLnI_7p14.1v",9167.69657007344,3338.5581390108,-1.45705942301282
"L1FLnI_8q21.11w",8870.7090806497,9046.03761327758,0.0282334118122909
"L1FLnI_12q23.1ea",8041.19229984547,4535.71294404948,-0.825941455869155
"L1FLnI_15q26.2e",7595.71106570986,7336.23495126883,-0.0501384670856879
"L1FLnI_10p11.22u",7474.86788035813,5732.86774908816,-0.382732443434308
"L1FLnI_6p22.3e",7232.15741486356,7131.1758084808,-0.0202832834031606
"L1FLnI_1q32.3d",7150.22983157426,3602.20560830969,-0.988910392414585
"L1FLnI_8q11.1k",6836.85682549266,3558.26436342654,-0.941965122585601
"L1FLnI_Xq23d",6690.41127036302,1987.12074082684,-1.75090514242828
"L1FLnI_3q22.3h",6069.80982694652,869.060176577833,-2.80270188865493
"L1FLnI_8p12u",5733.90673546036,1758.62626743447,-1.70450098159356
"L1FLnI_8q24.12e",5699.08751256241,7401.6585825393,0.377059422768875
"L1ORF2_4q31.21",3818.84947607282,5065.93729897281,0.407598187339731
"L1FLnI_11p15.1c",3650.89793032974,2653.07471883368,-0.460437456156323
"L1FLnI_4p13m",3416.3802231641,2044.73259522919,-0.740273195487385
"L1FLnI_8p23.1h",3291.4406586479,416.953590335657,-2.97774277916324
"L1FLnI_20p11.23d",3250.47686700325,1742.02624158972,-0.899500869925253
"L1FLnI_1q31.1k",3171.62156808729,508.741968536012,-2.63783640160366
"L1FLnI_2q32.1f",2778.36916829862,4820.84279973569,0.794827144896453
"L1FLnI_1q24.3e",2728.18852353392,2311.30948085363,-0.239137552861164
"L1FLnI_12q21.31ea",2501.86357469721,0,-11.2893639398626
"L1FLnI_4q23c",2436.32150806576,1151.2606159385,-1.08082951061298
"L1FLnI_Xq22.1ga",2377.94810497213,2902.07510650485,0.287258096171869
"L1FLnI_8q21.3da",2196.68332694454,498.000775342354,-2.13886955519335
"L1FLnI_Xq13.2da",2196.68332694454,1231.33132883668,-0.834593321381266
"L1FLnI_8q24.12o",2083.00880513063,1555.52006886347,-0.421037194952903
"L1FLnI_15q11.2i",2083.00880513063,1186.41361184502,-0.811538816587302
"L1FLnI_3q26.2a",2005.17760100579,1015.530992855,-0.98079512719734
"L1FLnI_6q24.2g",1962.1656197789,1245.9784104644,-0.654745401617406
"L1FLnI_1q42.2c",1710.23830116428,208.965031222086,-3.02681970024849
"L1FLnI_14q32.12f",1699.99735325312,849.530734407545,-0.999945621631988
"L1FLnI_15q11.2a",1663.12994077293,892.495507182179,-0.897235708274046
"L1FLnI_6q22.1ia",1582.22645227474,0.976472108514419,-9.64572431031609
"L1FLnI_12q13.11a",1575.05778873692,3247.74623291896,1.04356262128485
"L1FLnI_Xq13.1a",1563.79274603464,3012.41645476698,0.945428479993371
"L1FLnI_11q22.2a",1556.62408249683,2260.53293121088,0.537953908944782
"L1FLnI_6q25.3e",1543.31085021232,444.294809374061,-1.79413047800906
"L1FLI_14q23.2",1526.92533355446,171.859091098538,-3.14390565796909
"L1FLnI_3p26.1v",1511.56391168771,751.883523556103,-1.00649751105844
"L1FLnI_19q13.11a",1468.55193046083,543.894964442532,-1.43132627763342
"L1FLnI_1p34.2d",1368.19064093142,748.95410723056,-0.868449116995731
"L1FLnI_Xp11.3q",1224.81737017514,124.988429889846,-3.28238089799308
"L1FLnI_20p11.21u",1210.48004309951,1102.43701051278,-0.134766363241496
"L1FLnI_5q31.1l",1138.79340772137,709.895222889983,-0.681063508302257
"L1FLnI_5p12k",1126.50427022797,415.000646118628,-1.43847522322205
"L1FLnI_14q12ya",1106.02237440564,499.953719559383,-1.14393514942013
"L1FLnI_10q26.12g",1031.26345465415,1207.89599823234,0.227878911431551
"L1FLnI_13q34a",1023.07069632522,181.623812183682,-2.48736852003296
"L1FLnI_8q23.1y",998.492421338427,449.177169916633,-1.15070273330431
"L1FLnI_1q23.3u",944.215397409262,515.577273295613,-0.871658956978476
"L1FLnI_Xq13.1c",918.613027631353,885.660202422578,-0.0526455821507638
"L1FLnI_14q23.3q",868.432382866653,320.28285159273,-1.43622985190846
"L1FLnI_5q13.2d",866.38419328442,527.294938597786,-0.715327564569215
"L1FLnI_19q12p",860.239624537722,1243.04899413886,0.530556701259411
"L1FLnI_8q21.13ja",853.070960999908,233.376833934946,-1.86552596277542
"L1FLnI_13q14.2p",820.299927684185,635.683342642887,-0.367333151132027
"L1FLnI_18q21.32b",817.227643310836,357.388791716277,-1.19097675947699
"L1FLnI_5p12j",806.986695399672,1394.40217095859,0.788277540944667
"L1FLnI_5p13.2v",801.866221444091,316.376963158672,-1.33896220316347
"L1FLnI_18p11.21i",799.818031861858,594.671514085281,-0.426957490552266
"L1FLnI_10q23.31m",792.649368324044,553.659685527676,-0.516898900707127
"L1FLnI_Xq26.3m",784.456609995113,442.341865157032,-0.825111976828121
"L1FLnI_16p11.2l",775.239756875066,1490.096437593,0.94179933682297
"L1FLnI_7q21.2o",712.76997461697,6320.70395841384,3.14678235678783
"L1FLnI_5q33.1a",709.697690243621,679.624587526036,-0.0623767410467618
"L1FLnI_Xq21.1ne",701.50493191469,318.329907375701,-1.13746067651729
"L1FLnI_1p31.1rc",694.336268376876,62.4942149449228,-3.45301378488045
"L1FLnI_15q21.1c",686.143510047945,330.047572677874,-1.05357288545233
"L1FLnI_7q33b",667.709803807851,308.565186290556,-1.11113703342926
"L1FLnI_Xq13.1s",651.324287149989,117.17665302173,-2.46464429867793
"L1FLnI_11q21n",609.33640071422,206.035614896542,-1.55972567003886
"L1FLnI_5q15z",608.312305923103,357.388791716277,-0.765656358789753
"L1FLnI_Xq26.2j",591.926789265242,301.729881530956,-0.969822895026286
"L1FLnI_2q11.1b",576.565367398497,373.988817561023,-0.623136662336847
"L1FLnI_10q23.33a",575.541272607381,366.177040692907,-0.650948038226631
"L1FLnI_7q31.1y",531.505196589378,173.812035315567,-1.60699109057684
"L1FLnI_Xq21.1pc",526.384722633797,207.988559113571,-1.33543181412883
"L1FLnI_2q36.2",516.143774722633,321.259323701244,-0.682343330279915
"L1FLnI_4q21.3h",506.926921602586,75.1883523556103,-2.73697858195348
"L1FLnI_12p13.32g",506.926921602586,342.741710088561,-0.563296022091483
"L1FLnI_3p22.3b",489.517310153608,3922.48845990242,2.99976100226137
"L1FLnI_2q22.3s",476.204077869096,3175.48729688889,2.73475397314702
"L1FLnI_4q35.2k",464.939035166816,309.541658399071,-0.585354385350813
"L1FLnI_4q12e",460.842656002351,1.95294421702884,-7.2891035137113
"L1FLnI_1p22.1d",459.818561211235,260.71805297335,-0.816185384892955
"L1FLnI_5q13.3b",453.673992464537,207.988559113571,-1.12140851825027
"L1FLnI_8p11.21k",427.047527895512,15.6235537362307,-4.6864702584939
"L1FLnI_Xq13.3pa",426.023433104396,316.376963158672,-0.428117826764944
"L1FLnI_8q22.3j",423.975243522163,290.012216228783,-0.546299084601075
"L1FLnI_18q12.2j",419.878864357698,385.706482863196,-0.122166112023627
"L1FLnI_6q22.31ta",415.782485193232,63.4706870534373,-2.69257938803934
"L1FLnI_12q24.13b",415.782485193232,3567.05261240317,3.09777033215119
"L1FLnI_13q12.11h",404.517442490953,68.3530475960093,-2.54773278459387
"L1FLnI_3q21.1c",402.46925290872,20271.5609727593,5.65092580694298
"L1FLnI_Yq11.222r",398.372873744255,256.812164539292,-0.631416008153988
"L1FLnI_3q22.3n",397.348778953138,98.6236829599563,-1.99947150097772
"L1FLnI_15q15.3a",388.131925833091,460.894835218806,0.24730506521426
"L1FLnI_6q16.3c",374.818693548579,348.600542739648,-0.104329404886865
"L1FLnI_1p21.2c",354.336797726252,138.659039409048,-1.34727814319029
"L1FLnI_2p21b",353.312702935136,156.235537362307,-1.1720958672781
"L1FLnI_5q23.3c",351.264513352903,5.85883265108651,-5.68255228106685
"L1FLnI_12q23.1ia",343.071755023972,141.588455734591,-1.27085228272968
"L1FLnI_20q11.22",339.999470650623,347.624070631133,0.0319026836056419
"L1FLnI_5q15xa",337.951281068391,74.2118802470959,-2.17204545459834
"L1FLnI_7q22.2a",335.903091486158,221.659168632773,-0.597496646832712
"L1FLnI_12q24.22a",334.878996695042,159.16495368785,-1.06838308266816
"L1FLnI_6q21f",333.854901903925,405.235925033484,0.27878174078912
"L1FLnI_7q33c",327.710333157227,183.576756400711,-0.832595921878063
"L1FLnI_11q13.5h",326.686238366111,685.483420177122,1.06690979089248
"L1FLnI_1q42.2b",322.589859201646,131.823734649447,-1.28465342769268
"L1FLnI_Xp11.3ia",320.541669619413,305.635769965013,-0.0684797117246418
"L1FLnI_1q32.2g",317.469385246064,212.870919656143,-0.57441436108126
"L1FLnI_2q33.1t",316.445290454948,1004.78979966134,1.66374894763278
"L1FLnI_12p11.23e",313.373006081599,737.236441928387,1.23160561118687
"L1FLnI_Xq25o",311.324816499366,112.294292479158,-1.46297202348379
"L1FLnI_15q13.2e",300.059773797086,465.777195761378,0.632684125642469
"L1FLnI_6q14.1b",296.987489423737,1583.83776001039,2.41101149150277
"L1FLnI_14q11.2c",293.915205050388,35.1529959065191,-3.0281130961701
"L1FLnI_6q14.2j",288.794731094807,203.106198570999,-0.50571136802661
"L1FLnI_Xq22.1n",285.722446721458,162.094370013394,-0.813947872324164
"L1FLnI_3q26.2g",282.650162348109,182.600284292196,-0.627544397074549
"L1FLnI_5q13.2a",276.505593601411,314.424018941643,0.184775671056461
"L1FLnI_5q22.1j",272.409214436945,146.470816277163,-0.890632384743759
"L1FLnI_4q28.1la",266.264645690247,175.764979532595,-0.596436529559918
"L1FLnI_Xq21.1pd",266.264645690247,589.789153542709,1.14437433194436
"L1FLnI_20q13.13",258.071887361317,342.741710088561,0.407972447912609
"L1FLnI_6q15i",254.999602987968,157.212009470821,-0.694282457576671
"L1FLnI_1p21.3b",250.903223823502,154.282593145278,-0.697973469922167
"L1FLnI_13q14.2o",248.85503424127,126.941374106875,-0.965608403531679
"L1FLnI_Xq27.3q",245.782749867921,71.2824639215526,-1.77152396364179
"L1FLnI_9q21.13k",243.734560285688,168.929674772995,-0.526280034576313
"L1FLnI_3q13.33d",241.686370703455,208.965031222086,-0.208944015623438
"L1FLnI_12q14.1la",235.541801956757,196.270893811398,-0.26191705054181
"L1FLnI_5q31.1a",229.397233210059,451.130114133662,0.972614619708636
"L1FLnI_2q14.1ga",228.373138418943,194.317949594369,-0.231871911094995
"L1FLnI_8q22.2h",227.349043627827,233.376833934946,0.0375892318070801
"L1FLnI_11q21b",225.300854045594,47.8471333172065,-2.2118962266478
"L1FLnI_1q25.1h",223.252664463361,121.082541455788,-0.877268225730747
"L1FLnI_Xq22.1y",221.204474881129,75.1883523556103,-1.54424550978295
"L1FLnI_9q22.32c",219.156285298896,815.35421060954,1.89066723099112
"L1FLnI_1p11.2g",218.13219050778,1.95294421702884,-6.21350351818609
"L1FLnI_Xq28sa",217.108095716663,654.236312704661,1.58697199147364
"L1FLnI_12q23.3g",216.084000925547,149.400232602706,-0.529446605126515
"L1FLnI_6q22.1u",215.05990613443,878.824897662977,2.02578504923551
"L1FLnI_6q14.1ia",213.011716552198,125.96490199836,-0.753260046876859
"L1FLnI_5q14.1c",209.939432178849,83.9766013322401,-1.31169126317356
"L1FLnI_3q22.2b",206.8671478055,90.811906091841,-1.17890860826661
"L1FLnI_5q35.3b",206.8671478055,52.7294938597786,-1.95187561383738
"L1FLnI_12q14.1a",204.818958223267,69.3295197045238,-1.54917360669203
"L1FLnI_11q14.1s",201.746673849918,188.459116943283,-0.0977916812764291
"L1FLnI_11q12.3a",195.60210510322,34.1765237980047,-2.48259394384956
"L1FLnI_13q13.3t",194.578010312104,425.741839312287,1.12561939359094
"L1FLnI_Xq28pa",187.409346774289,699.154029696324,1.89380180405604
"L1FLnI_13q22.1a",186.385251983173,286.106327794725,0.61557771652434
"L1FLnI_1q32.1m",185.361157192057,67.3765754874949,-1.44652711884712
"L1FLnI_4q28.2a",182.288872818708,190.412061160312,0.0625625342879862
"L1FLnI_1p13.1f",182.288872818708,34.1765237980047,-2.38143437930546
"L1FLnI_Xq13.3u",180.240683236475,371.059401235479,1.03762613894596
"L1FLnI_10q26.3e",179.216588445359,82.0236571152112,-1.11813742557224
"L1FLnI_5q35.2h",178.192493654242,59.5647986193796,-1.5649587830203
"L1FLnI_15q22.31a",176.14430407201,189.435589051797,0.104378040551155
"L1FLnI_1p31.3z",174.096114489777,52.7294938597786,-1.70436091686453
"L1FLnI_14q11.2d",173.072019698661,17.5764979532595,-3.22813386793248
"L1FLnI_7p15.3g",171.023830116428,727.471720843242,2.08226453575998
"L1FLnI_10q22.3h",171.023830116428,155.259065253793,-0.138668543338429
"L1FLnI_6p12.3h",169.999735325312,905.189644592867,2.4058189125688
"L1FLnI_7p14.1m",168.975640534195,2.92941632554326,-5.43486916528568
"L1FLnI_22q11.1c",166.927450951963,21.4823863873172,-2.90097100233009
"L1FLnI_5q31.3b",164.87926136973,186.506172726254,0.176804561776945
"L1FLnI_2q12.2b",164.87926136973,102.529571394014,-0.680090621359567
"L1FLnI_9p13.3e",164.87926136973,83.0001292237256,-0.981670075899232
"L1FLnI_2q24.1ma",159.758787414148,162.094370013394,0.0208093808908407
"L1FLnI_1q32.3e",158.734692623032,33.2000516894903,-2.22360727362308
"L1FLnI_1q25.1o",157.710597831916,110.341348262129,-0.511409008328724
"L1FLnI_12p13.33a",156.686503040799,171.859091098538,0.132537300674719
"L1FLnI_8p21.2p",155.662408249683,135.729623083504,-0.196333197954514
"L1FLnI_5q31.3a",155.662408249683,119.129597238759,-0.383067398544392
"L1FLnI_6q21m",151.566029085218,36.1294680150335,-2.03879721237771
"L1FLnI_11q23.2d",151.566029085218,97.6472108514419,-0.629083596213914
"L1FLnI_14q23.3p",147.469649920752,61.5177428364084,-1.24783044948836
"L1FLnI_13q14.11s",146.445555129636,200.176782245456,0.448281481932274
"L1FLnI_14q13.2",143.373270756287,12.6941374106874,-3.39817336750267
"L1FLnI_20p11.21a",143.373270756287,1324.09617914555,3.19822150653602
"L1FLnI_7q32.1",142.349175965171,75.1883523556103,-0.911891250292835
"L1FLnI_2q33.1r",141.325081174054,49.8000775342354,-1.48628731851712
"L1FLnI_Xq22.1la",141.325081174054,161.117897904879,0.187853451412467
"L1FLnI_5q14.1h",140.300986382938,40.0353564490912,-1.78383214648481
"L1FLnI_7q31.33h",140.300986382938,66.4001033789805,-1.06794882741821
"L1FLnI_1p13.2m",139.276891591822,167.95320266448,0.268346331132773
"L1FLnI_18p11.21k",139.276891591822,156.235537362307,0.164649955831545
"L1FLnI_5q15c",139.276891591822,78.1177686811535,-0.826203723072245
"L1FLnI_16q12.1d",138.252796800705,50.7765496427498,-1.42733557018745
"L1FLnI_2q31.2g",137.228702009589,0,-7.11091339991165
"L1FLnI_12q13.11y",137.228702009589,211.894447547629,0.623081113537929
"L1FLnI_Xq25q",134.15641763624,240.212138694547,0.835672493829591
"L1FLnI_5q15n",134.15641763624,34.1765237980047,-1.94194519156364
"L1FLnI_Yp11.2v",133.132322845124,54.6824380768075,-1.26836264925944
"L1FLnI_1q24.2j",133.132322845124,51.7530217512642,-1.34633129543241
"L1FLnI_4p13e",133.132322845124,85.9295455492689,-0.625738428277856
"L1FLnI_3p21.2m",132.108228054007,108.388404045101,-0.283139943642186
"L1FLnI_1q25.1i",132.108228054007,48.823605425721,-1.41769842448992
"L1FLnI_6q22.1ha",132.108228054007,0,-7.05645594363773
"L1FLnI_10q11.21u",132.108228054007,31.2471074724614,-2.04535809045597
"L1FLnI_9p11.2d",130.060038471775,74.2118802470959,-0.801195391458852
"L1FLnI_21q22.3b",129.035943680658,258.765108756321,0.998297204597736
"L1FLnI_6q16.2d",129.035943680658,88.8589618748122,-0.533176158794822
"L1FLnI_6q22.1v",129.035943680658,68.3530475960093,-0.906879272941002
"L1FLnI_2q31.1s",128.011848889542,55.6589101853219,-1.18712881642963
"L1FLnI_6q13f",128.011848889542,83.0001292237256,-0.619040121369343
"L1FLnI_14q24.1e",126.987754098426,60.541270727894,-1.05637964097684
"L1FLnI_15q25.1a",126.987754098426,75.1883523556103,-0.748363418335544
"L1FLnI_2p23.1c",125.963659307309,212.870919656143,0.752324715674115
"L1FLnI_4q26qa",124.939564516193,31.2471074724614,-1.9654899204002
"L1FLnI_14q22.1c",124.939564516193,122.059013564302,-0.0333812506899957
"L1FLnI_3p14.3l",120.843185351728,74.2118802470959,-0.695993094995335
"L1FLnI_4q12ab",120.843185351728,8.78824897662977,-3.6378309549679
"L1FLnI_15q21.2m",119.819090560611,81.0471850066968,-0.558322690519343
"L1FLnI_10q24.1b",119.819090560611,49.8000775342354,-1.2499458281127
"L1FLnI_Xq13.3fa",117.770900978379,102.529571394014,-0.198138510361331
"L1FLnI_2q11.2b",116.746806187262,88.8589618748122,-0.38995362825418
"L1FLnI_10q25.3l",116.746806187262,178.694395858139,0.609857488001076
"L1FLnI_Xq13.1ja",115.722711396146,122.059013564302,0.0762650314491107
"L1FLnI_5q12.3j",114.69861660503,94.7177945258987,-0.273512553784186
"L1FLnI_4q13.2o",112.650427022797,267.553357732951,1.24060565482234
"L1FLnI_4q28.2l",112.650427022797,760.671772532733,2.74456632573152
"L1FLnI_1q25.1m",112.650427022797,530.22435492333,2.22471818626024
"L1FLnI_Xq22.3ba",111.626332231681,350.553486956677,1.64220003276789
"L1FLnI_5q21.1l",111.626332231681,54.6824380768075,-1.01624988482118
"L1FLnI_7p14.2e",111.626332231681,156.235537362307,0.481383151624207
"L1FLnI_7p21.1g",109.578142649448,66.4001033789805,-0.714243535113242
"L1FLnI_Yp11.2h",109.578142649448,72.258936030067,-0.593989591002974
"L1FLnI_2q21.3e",107.529953067215,46.8706612086921,-1.18087962711864
"L1FLnI_1q24.2k",107.529953067215,51.7530217512642,-1.0407676250443
"L1FLnI_Xq26.3h",106.505858276099,270.482774058494,1.33644538183062
"L1FLnI_2q14.1ha",106.505858276099,111.317820370644,0.0631715660263044
"L1FLnI_13q22.3a",106.505858276099,96.6707387429275,-0.138416964350347
"L1FLnI_10p12.33a",105.481763484983,74.2118802470959,-0.501573900706431
"L1FLnI_16q12.1n",104.457668693866,146.470816277163,0.483765471565292
"L1FLnI_3q25.33h",101.385384320517,51.7530217512642,-0.956684142519414
"L1FLnI_5q14.1f",101.385384320517,28.3176911469182,-1.80416638633638
"L1FLnI_2q14.3ha",101.385384320517,101.5530992855,0.00236130957955173
"L1FLnI_15q22.2a",100.361289529401,205.059142788028,1.02355169319241
"L1FLnI_11p15.3c",100.361289529401,79.0942407896679,-0.339736369954374
"L1FLnI_4q12eb",99.3371947382846,100.576627176985,0.0177119671683953
"L1FLnI_1p12s",99.3371947382846,31.2471074724614,-1.63761484500872
"L1FLnI_Xq11.2v",99.3371947382846,214.823863873172,1.10499788554838
"L1FLnI_4q27u",98.3130999471682,265.600413515922,1.42462308327634
"L1FLnI_8q23.1b",97.2890051560519,0.976472108514419,-5.63603054080452
"L1FLnI_9q31.1d",96.2649103649356,28.3176911469182,-1.73014793553959
"L1FLnI_19q13.31d",96.2649103649356,174.788507424081,0.853849421889812
"L1FLnI_1q24.2f",95.2408155738192,61.5177428364084,-0.622383176715277
"L1FLnI_7q21.13t",95.2408155738192,3.90588843405768,-4.29406253768055
"L1FLnI_11p15.2f",94.2167207827029,437.45950461446,2.20315675477413
"L1FLnI_11q13.5c",94.2167207827029,65.4236312704661,-0.519518349281067
"L1FLnI_3q23f",93.1926259915866,96.6707387429275,0.052312287976045
"L1FLnI_2q33.1s",92.1685312004702,0.976472108514419,-5.55884324797778
"L1FLnI_4q31.21q",92.1685312004702,23.4353306043461,-1.93087412539062
"L1FLnI_4p16.3a",92.1685312004702,10.7411931936586,-2.98826372028085
"L1FLnI_1q25.1k",92.1685312004702,32.2235795809758,-1.48763522864897
"L1FLnI_9q22.32d",91.1444364093539,46.8706612086921,-0.944755326699423
"L1FLnI_6q22.1ka",90.1203416182375,124.988429889846,0.467446189376092
"L1FLnI_7p21.1k",88.0721520360049,4.8823605425721,-3.92050733289428
"L1ORF2_4p15.32",87.0480572448885,22.4588584958316,-1.90815835798302
"L1FLnI_16p12.2b",86.0239624537722,49.8000775342354,-0.776582009539596
"L1FLnI_1q21.2f",86.0239624537722,88.8589618748122,0.0462496862795
"L1FLnI_17q21.31",83.9757728715395,42.9647727746344,-0.950703566010781
"L1FLnI_15q21.3aa",83.9757728715395,101.5530992855,0.27124760902403
"L1FLnI_3q13.2m",83.9757728715395,65.4236312704661,-0.355354983667594
"L1FLnI_4p14p",83.9757728715395,58.5883265108652,-0.512021847307724
"L1FLnI_5p13.3l",83.9757728715395,60.541270727894,-0.465497345122036
"L1FLnI_7q34a",82.9516780804232,106.435459828072,0.355839175468838
"L1FLnI_4q24qa",81.9275832893069,64.4471591619517,-0.341521478261579
"L1FLnI_13q14.2u",81.9275832893069,64.4471591619517,-0.341521478261579
"L1FLnI_Xq28xa",81.9275832893069,73.2354081385814,-0.159744574582352
"L1FLnI_2q37.1e",80.9034884981905,1555.52006886347,4.24825546638787
"L1FLnI_14q22.3j",79.8793937070742,71.2824639215526,-0.162126497695549
"L1FLnI_Xq25ec",77.8312041248415,56.6353822938363,-0.451812059038686
"L1FLnI_4q31.3a",76.8071093337252,83.9766013322401,0.127163661631667
"L1FLnI_8q24.22g",76.8071093337252,153.306121036764,0.987821404859687
"L1FLnI_2q32.2g",76.8071093337252,64.4471591619517,-0.249571411043357
"L1FLnI_12q12db",76.8071093337252,81.0471850066968,0.0765518544234665
"L1FLnI_4p15.31r",75.7830145426088,92.7648503088698,0.288259997762585
"L1FLnI_5q13.3h",75.7830145426088,266.576885624436,1.80109438812301
"L1FLnI_1q24.3l",74.7589197514925,252.906276105235,1.74480839160815
"L1FLnI_11q12.1t",74.7589197514925,2.92941632554326,-4.26902882355212
"L1FLnI_1q21.1c",74.7589197514925,47.8471333172065,-0.633141862027379
"L1FLnI_6q22.1ca",71.6866353781435,136.706095192019,0.9218303872651
"L1FLnI_6q27u",71.6866353781435,76.1648244641247,0.0862532201852348
"L1FLnI_4q24sa",71.6866353781435,31.2471074724614,-1.17252036725161
"L1FLnI_Yp11.2gb",70.6625405870272,20.5059142788028,-1.73648572527588
"L1FLnI_15q26.1c",70.6625405870272,202.129726462485,1.50311028620521
"L1FLnI_Xp11.21ma",68.6143510047945,9.76472108514419,-2.69307380881199
"L1FLnI_15q13.1a",68.6143510047945,83.9766013322401,0.287680895283606
"L1FLnI_15q13.2c",67.5902562136782,168.929674772995,1.30886226209727
"L1FLnI_9q31.1c",67.5902562136782,25.3882748213749,-1.37810660966622
"L1FLnI_6q13m",67.5902562136782,187.482644834768,1.45835613880541
"L1FLnI_8q11.21b",66.5661614225618,32.2235795809758,-1.024093374085
"L1FLnI_20q13.12e",66.5661614225618,813.401266392511,3.59136700481891
"L1FLnI_7p12.1g",66.5661614225618,25.3882748213749,-1.35640385978204
"L1FLnI_15q11.1f",66.5661614225618,73.2354081385814,0.135806579863707
"L1FLnI_12q13.2o",66.5661614225618,6.83530475960093,-3.10823959934817
"L1FLnI_Yq11.21m",66.5661614225618,50.7765496427498,-0.38400206673614
"L1FLnI_11p15.3h",65.5420666314455,58.5883265108652,-0.159236942327107
"L1FLnI_14q23.1h",65.5420666314455,41.98830066612,-0.630322591943916
"L1FLnI_11p15.2m",64.5179718403292,66.4001033789805,0.0408601063041188
"L1FLnI_19p12e",64.5179718403292,23.4353306043461,-1.42292207388003
"L1FLnI_7q33i",64.5179718403292,8.78824897662977,-2.74276799413547
"L1FLnI_12q23.1b",64.5179718403292,178.694395858139,1.45558281307891
"L1FLI_16p12.3b",64.5179718403292,233.376833934946,1.83886737619812
