"transcript","MCF10A_norm","MDAMB_norm","log2FoldChange"
"L1FLnI_15q23j",17061.4192199982,5793.40901981605,-1.55808878449309
"L1FLnI_12q23.3d",14846.3021868135,3914.67668303431,-1.92286725966664
"L1FLnI_7p14.1v",9167.69657007344,3338.5581390108,-1.45705942301282
"L1FLnI_Xq23d",6690.41127036302,1987.12074082684,-1.75090514242828
"L1FLnI_3q22.3h",6069.80982694652,869.060176577833,-2.80270188865493
"L1FLnI_8p12u",5733.90673546036,1758.62626743447,-1.70450098159356
"L1FLnI_8p23.1h",3291.4406586479,416.953590335657,-2.97774277916324
"L1FLnI_1q31.1k",3171.62156808729,508.741968536012,-2.63783640160366
"L1FLnI_4q23c",2436.32150806576,1151.2606159385,-1.08082951061298
"L1FLnI_8q21.3da",2196.68332694454,498.000775342354,-2.13886955519335
"L1FLnI_1q42.2c",1710.23830116428,208.965031222086,-3.02681970024849
"L1FLnI_6q22.1ia",1582.22645227474,0.976472108514419,-9.64572431031609
"L1FLnI_12q13.11a",1575.05778873692,3247.74623291896,1.04356262128485
"L1FLnI_6q25.3e",1543.31085021232,444.294809374061,-1.79413047800906
"L1FLI_14q23.2",1526.92533355446,171.859091098538,-3.14390565796909
"L1FLnI_3p26.1v",1511.56391168771,751.883523556103,-1.00649751105844
"L1FLnI_19q13.11a",1468.55193046083,543.894964442532,-1.43132627763342
"L1FLnI_Xp11.3q",1224.81737017514,124.988429889846,-3.28238089799308
"L1FLnI_5p12k",1126.50427022797,415.000646118628,-1.43847522322205
"L1FLnI_14q12ya",1106.02237440564,499.953719559383,-1.14393514942013
"L1FLnI_13q34a",1023.07069632522,181.623812183682,-2.48736852003296
"L1FLnI_8q23.1y",998.492421338427,449.177169916633,-1.15070273330431
"L1FLnI_14q23.3q",868.432382866653,320.28285159273,-1.43622985190846
"L1FLnI_8q21.13ja",853.070960999908,233.376833934946,-1.86552596277542
"L1FLnI_18q21.32b",817.227643310836,357.388791716277,-1.19097675947699
"L1FLnI_5p13.2v",801.866221444091,316.376963158672,-1.33896220316347
"L1FLnI_7q21.2o",712.76997461697,6320.70395841384,3.14678235678783
"L1FLnI_Xq21.1ne",701.50493191469,318.329907375701,-1.13746067651729
"L1FLnI_1p31.1rc",694.336268376876,62.4942149449228,-3.45301378488045
"L1FLnI_15q21.1c",686.143510047945,330.047572677874,-1.05357288545233
"L1FLnI_7q33b",667.709803807851,308.565186290556,-1.11113703342926
"L1FLnI_Xq13.1s",651.324287149989,117.17665302173,-2.46464429867793
"L1FLnI_11q21n",609.33640071422,206.035614896542,-1.55972567003886
"L1FLnI_7q31.1y",531.505196589378,173.812035315567,-1.60699109057684
"L1FLnI_Xq21.1pc",526.384722633797,207.988559113571,-1.33543181412883
"L1FLnI_4q21.3h",506.926921602586,75.1883523556103,-2.73697858195348
"L1FLnI_3p22.3b",489.517310153608,3922.48845990242,2.99976100226137
"L1FLnI_2q22.3s",476.204077869096,3175.48729688889,2.73475397314702
"L1FLnI_4q12e",460.842656002351,1.95294421702884,-7.2891035137113
"L1FLnI_5q13.3b",453.673992464537,207.988559113571,-1.12140851825027
"L1FLnI_8p11.21k",427.047527895512,15.6235537362307,-4.6864702584939
"L1FLnI_6q22.31ta",415.782485193232,63.4706870534373,-2.69257938803934
"L1FLnI_12q24.13b",415.782485193232,3567.05261240317,3.09777033215119
"L1FLnI_13q12.11h",404.517442490953,68.3530475960093,-2.54773278459387
"L1FLnI_3q21.1c",402.46925290872,20271.5609727593,5.65092580694298
"L1FLnI_3q22.3n",397.348778953138,98.6236829599563,-1.99947150097772
"L1FLnI_1p21.2c",354.336797726252,138.659039409048,-1.34727814319029
"L1FLnI_2p21b",353.312702935136,156.235537362307,-1.1720958672781
"L1FLnI_5q23.3c",351.264513352903,5.85883265108651,-5.68255228106685
"L1FLnI_12q23.1ia",343.071755023972,141.588455734591,-1.27085228272968
"L1FLnI_5q15xa",337.951281068391,74.2118802470959,-2.17204545459834
"L1FLnI_12q24.22a",334.878996695042,159.16495368785,-1.06838308266816
"L1FLnI_11q13.5h",326.686238366111,685.483420177122,1.06690979089248
"L1FLnI_1q42.2b",322.589859201646,131.823734649447,-1.28465342769268
"L1FLnI_2q33.1t",316.445290454948,1004.78979966134,1.66374894763278
"L1FLnI_12p11.23e",313.373006081599,737.236441928387,1.23160561118687
"L1FLnI_Xq25o",311.324816499366,112.294292479158,-1.46297202348379
"L1FLnI_6q14.1b",296.987489423737,1583.83776001039,2.41101149150277
"L1FLnI_14q11.2c",293.915205050388,35.1529959065191,-3.0281130961701
"L1FLnI_Xq21.1pd",266.264645690247,589.789153542709,1.14437433194436
"L1FLnI_Xq27.3q",245.782749867921,71.2824639215526,-1.77152396364179
"L1FLnI_11q21b",225.300854045594,47.8471333172065,-2.2118962266478
"L1FLnI_Xq22.1y",221.204474881129,75.1883523556103,-1.54424550978295
"L1FLnI_9q22.32c",219.156285298896,815.35421060954,1.89066723099112
"L1FLnI_1p11.2g",218.13219050778,1.95294421702884,-6.21350351818609
"L1FLnI_Xq28sa",217.108095716663,654.236312704661,1.58697199147364
"L1FLnI_6q22.1u",215.05990613443,878.824897662977,2.02578504923551
"L1FLnI_5q14.1c",209.939432178849,83.9766013322401,-1.31169126317356
"L1FLnI_3q22.2b",206.8671478055,90.811906091841,-1.17890860826661
"L1FLnI_5q35.3b",206.8671478055,52.7294938597786,-1.95187561383738
"L1FLnI_12q14.1a",204.818958223267,69.3295197045238,-1.54917360669203
"L1FLnI_11q12.3a",195.60210510322,34.1765237980047,-2.48259394384956
"L1FLnI_13q13.3t",194.578010312104,425.741839312287,1.12561939359094
"L1FLnI_Xq28pa",187.409346774289,699.154029696324,1.89380180405604
"L1FLnI_1q32.1m",185.361157192057,67.3765754874949,-1.44652711884712
"L1FLnI_1p13.1f",182.288872818708,34.1765237980047,-2.38143437930546
"L1FLnI_Xq13.3u",180.240683236475,371.059401235479,1.03762613894596
"L1FLnI_10q26.3e",179.216588445359,82.0236571152112,-1.11813742557224
"L1FLnI_5q35.2h",178.192493654242,59.5647986193796,-1.5649587830203
"L1FLnI_1p31.3z",174.096114489777,52.7294938597786,-1.70436091686453
"L1FLnI_14q11.2d",173.072019698661,17.5764979532595,-3.22813386793248
"L1FLnI_7p15.3g",171.023830116428,727.471720843242,2.08226453575998
"L1FLnI_6p12.3h",169.999735325312,905.189644592867,2.4058189125688
"L1FLnI_7p14.1m",168.975640534195,2.92941632554326,-5.43486916528568
"L1FLnI_22q11.1c",166.927450951963,21.4823863873172,-2.90097100233009
"L1FLnI_1q32.3e",158.734692623032,33.2000516894903,-2.22360727362308
"L1FLnI_6q21m",151.566029085218,36.1294680150335,-2.03879721237771
"L1FLnI_14q23.3p",147.469649920752,61.5177428364084,-1.24783044948836
"L1FLnI_14q13.2",143.373270756287,12.6941374106874,-3.39817336750267
"L1FLnI_20p11.21a",143.373270756287,1324.09617914555,3.19822150653602
"L1FLnI_2q33.1r",141.325081174054,49.8000775342354,-1.48628731851712
"L1FLnI_5q14.1h",140.300986382938,40.0353564490912,-1.78383214648481
"L1FLnI_7q31.33h",140.300986382938,66.4001033789805,-1.06794882741821
"L1FLnI_16q12.1d",138.252796800705,50.7765496427498,-1.42733557018745
"L1FLnI_5q15n",134.15641763624,34.1765237980047,-1.94194519156364
"L1FLnI_Yp11.2v",133.132322845124,54.6824380768075,-1.26836264925944
"L1FLnI_1q24.2j",133.132322845124,51.7530217512642,-1.34633129543241
"L1FLnI_1q25.1i",132.108228054007,48.823605425721,-1.41769842448992
"L1FLnI_10q11.21u",132.108228054007,31.2471074724614,-2.04535809045597
"L1FLnI_2q31.1s",128.011848889542,55.6589101853219,-1.18712881642963
"L1FLnI_14q24.1e",126.987754098426,60.541270727894,-1.05637964097684
"L1FLnI_4q26qa",124.939564516193,31.2471074724614,-1.9654899204002
"L1FLnI_4q12ab",120.843185351728,8.78824897662977,-3.6378309549679
"L1FLnI_10q24.1b",119.819090560611,49.8000775342354,-1.2499458281127
"L1FLnI_4q13.2o",112.650427022797,267.553357732951,1.24060565482234
"L1FLnI_4q28.2l",112.650427022797,760.671772532733,2.74456632573152
"L1FLnI_1q25.1m",112.650427022797,530.22435492333,2.22471818626024
"L1FLnI_Xq22.3ba",111.626332231681,350.553486956677,1.64220003276789
"L1FLnI_5q21.1l",111.626332231681,54.6824380768075,-1.01624988482118
"L1FLnI_2q21.3e",107.529953067215,46.8706612086921,-1.18087962711864
"L1FLnI_1q24.2k",107.529953067215,51.7530217512642,-1.0407676250443
"L1FLnI_Xq26.3h",106.505858276099,270.482774058494,1.33644538183062
"L1FLnI_5q14.1f",101.385384320517,28.3176911469182,-1.80416638633638
"L1FLnI_15q22.2a",100.361289529401,205.059142788028,1.02355169319241
"L1FLnI_1p12s",99.3371947382846,31.2471074724614,-1.63761484500872
"L1FLnI_Xq11.2v",99.3371947382846,214.823863873172,1.10499788554838
"L1FLnI_4q27u",98.3130999471682,265.600413515922,1.42462308327634
"L1FLnI_8q23.1b",97.2890051560519,0.976472108514419,-5.63603054080452
"L1FLnI_9q31.1d",96.2649103649356,28.3176911469182,-1.73014793553959
"L1FLnI_7q21.13t",95.2408155738192,3.90588843405768,-4.29406253768055
"L1FLnI_11p15.2f",94.2167207827029,437.45950461446,2.20315675477413
"L1FLnI_2q33.1s",92.1685312004702,0.976472108514419,-5.55884324797778
"L1FLnI_4q31.21q",92.1685312004702,23.4353306043461,-1.93087412539062
"L1FLnI_4p16.3a",92.1685312004702,10.7411931936586,-2.98826372028085
"L1FLnI_1q25.1k",92.1685312004702,32.2235795809758,-1.48763522864897
"L1FLnI_7p21.1k",88.0721520360049,4.8823605425721,-3.92050733289428
"L1ORF2_4p15.32",87.0480572448885,22.4588584958316,-1.90815835798302
"L1FLnI_2q37.1e",80.9034884981905,1555.52006886347,4.24825546638787
"L1FLnI_5q13.3h",75.7830145426088,266.576885624436,1.80109438812301
"L1FLnI_1q24.3l",74.7589197514925,252.906276105235,1.74480839160815
"L1FLnI_11q12.1t",74.7589197514925,2.92941632554326,-4.26902882355212
"L1FLnI_4q24sa",71.6866353781435,31.2471074724614,-1.17252036725161
"L1FLnI_Yp11.2gb",70.6625405870272,20.5059142788028,-1.73648572527588
"L1FLnI_15q26.1c",70.6625405870272,202.129726462485,1.50311028620521
"L1FLnI_Xp11.21ma",68.6143510047945,9.76472108514419,-2.69307380881199
"L1FLnI_15q13.2c",67.5902562136782,168.929674772995,1.30886226209727
"L1FLnI_9q31.1c",67.5902562136782,25.3882748213749,-1.37810660966622
"L1FLnI_6q13m",67.5902562136782,187.482644834768,1.45835613880541
"L1FLnI_8q11.21b",66.5661614225618,32.2235795809758,-1.024093374085
"L1FLnI_20q13.12e",66.5661614225618,813.401266392511,3.59136700481891
"L1FLnI_7p12.1g",66.5661614225618,25.3882748213749,-1.35640385978204
"L1FLnI_12q13.2o",66.5661614225618,6.83530475960093,-3.10823959934817
"L1FLnI_19p12e",64.5179718403292,23.4353306043461,-1.42292207388003
"L1FLnI_7q33i",64.5179718403292,8.78824897662977,-2.74276799413547
"L1FLnI_12q23.1b",64.5179718403292,178.694395858139,1.45558281307891
"L1FLI_16p12.3b",64.5179718403292,233.376833934946,1.83886737619812
"L1FLnI_11q22.3z",64.5179718403292,17.5764979532595,-1.81841214785574
"L1FLnI_22q11.23b",63.4938770492128,139.635511517562,1.1247268268171
"L1FLnI_3q13.33x",59.3974978847475,151.353176819735,1.33485889425169
"L1FLnI_11q23.1b",58.3734030936311,9.76472108514419,-2.46350586650756
"L1FLnI_19q13.2d",58.3734030936311,448.200697808118,2.91947145763006
"L1FLnI_8q11.23o",53.2529291380495,1.95294421702884,-4.19947502293459
"L1FLnI_7q21.13u",52.2288343469331,21.4823863873172,-1.24341279497763
"L1FLnI_2p23.3a",52.2288343469331,227.51800128386,2.10202793837848
"L1FLnI_15q26.1a",52.2288343469331,6.83530475960093,-2.76414667764708
"L1FLnI_12p13.31p",52.2288343469331,1.95294421702884,-4.17198196474456
"L1FLnI_6q25.3i",52.2288343469331,7.81177686811535,-2.59470310449238
"L1FLnI_7q22.1e",51.2047395558168,18.552970061774,-1.41679302489716
"L1FLnI_8q21.11n",49.1565499735841,132.800206757961,1.41557032468673
"L1FLnI_18p11.22g",47.1083603913514,209.9415033306,2.13248344129036
"L1FLnI_4q26ua",47.1083603913514,122.059013564302,1.35499079706452
"L1FLnI_18q12.1q",46.0842656002351,5.85883265108651,-2.77921006645027
"L1FLnI_14q21.1a",46.0842656002351,12.6941374106874,-1.78168663328244
"L1FLnI_3p22.1ea",46.0842656002351,4.8823605425721,-3.00077790935083
"L1FLnI_4q21.21e",45.0601708091188,98.6236829599563,1.11296898536632
"L1FLnI_9q21.32i",45.0601708091188,164.047314230422,1.84128799584112
"L1FLnI_11q23.3k",44.0360760180024,3.90588843405768,-3.1984948005173
"L1FLnI_5p12l",41.9878864357698,6.83530475960093,-2.45586888426487
"L1FLnI_2p24.1b",40.9637916446534,18.552970061774,-1.10175727171211
"L1FLnI_6q16.3na",38.9156020624208,6.83530475960093,-2.34889147644729
"L1FLnI_19p12m",38.9156020624208,0.976472108514419,-4.33595327051293
"L1FLnI_18q22.2e",37.8915072713044,115.223708804701,1.57937734446367
"L1FLnI_2p22.2g",37.8915072713044,12.6941374106874,-1.50589675464117
"L1FLnI_Xq13.2z",37.8915072713044,77.1412965726391,1.00663004523125
"L1FLnI_2p16.3h",37.8915072713044,89.8354339833266,1.22380003939456
"L1FLnI_10p15.3c",36.8674124801881,2.92941632554326,-3.26856990775973
"L1FLnI_7q32.3a",36.8674124801881,12.6941374106874,-1.46739844972406
"L1FLnI_4q21.21l",36.8674124801881,86.9060176577833,1.21500508554831
"L1FLnI_13q14.11g",35.8433176890717,347.624070631133,3.24219729823806
"L1FLnI_3q26.32t",35.8433176890717,5.85883265108651,-2.4253680191027
"L1FLnI_1p13.1b",35.8433176890717,5.85883265108651,-2.4253680191027
"L1FLnI_20p13i",35.8433176890717,13.6706095192019,-1.32847416809617
"L1FLnI_9q21.12h",34.8192228979554,122.059013564302,1.78054438977139
"L1FLnI_1p12u",34.8192228979554,134.75315097499,1.92217974155843
"L1FLnI_2q32.1ma",34.8192228979554,309.541658399071,3.11598087207063
"L1FLnI_10q21.1p",34.8192228979554,3.90588843405768,-2.86814770751326
"L1FLnI_3p14.2b",33.7951281068391,14.6470816277163,-1.1529917170976
"L1FLnI_21q21.1b",32.7710333157227,90.811906091841,1.44289493010601
"L1FLnI_5q35.1d",32.7710333157227,127.917846215389,1.93259376284454
"L1FLnI_Xq22.3ja",31.7469385246064,4.8823605425721,-2.47689291903605
"L1FLnI_4q26wa",30.7228437334901,173.812035315567,2.46221050416044
"L1FLnI_10q23.32e",30.7228437334901,5.85883265108651,-2.20948714362846
"L1FLnI_22p11.2o",30.7228437334901,1.95294421702884,-3.42529609604275
"L1FLnI_12q23.3f",27.6505593601411,128.894318323903,2.18070311671551
"L1FLnI_2p13.2a",27.6505593601411,70.3059918130382,1.31546000506985
"L1FLnI_8q11.23n",26.6264645690247,54.6824380768075,1.01117143302005
"L1FLnI_11p15.5b",26.6264645690247,102.529571394014,1.90592005333654
"L1FLnI_4q23h",26.6264645690247,11.717665302173,-1.11921710226161
"L1FLnI_21p11.2f",26.6264645690247,2.92941632554326,-2.81366401252985
"L1FLnI_15q13.3c",25.6023697779084,61.5177428364084,1.23271092285527
"L1FLnI_22q11.22b",25.6023697779084,55.6589101853219,1.0907480834093
"L1FLnI_2q31.1t",25.6023697779084,8.78824897662977,-1.44243206504004
"L1FLnI_4p11h",25.6023697779084,1.95294421702884,-3.1713287604036
"L1FLnI_11p13u",24.5782749867921,6.83530475960093,-1.70685767581388
"L1FLnI_9q33.2b",24.5782749867921,78.1177686811535,1.6290827677266
"L1FLnI_Xq21.1of",24.5782749867921,385.706482863196,3.91824807394447
"L1FLnI_1p13.3e",23.5541801956757,237.282722369004,3.27863378663859
"L1FLnI_11q12.1k",23.5541801956757,63.4706870534373,1.39267470287027
"L1FLnI_8q24.21v",23.5541801956757,2.92941632554326,-2.64358171928787
"L1FLnI_6q22.32a",22.5300854045594,5.85883265108651,-1.77847159612235
"L1FLnI_3p22.1z",22.5300854045594,7.81177686811535,-1.41700168828446
"L1ORF2_3q25.2",22.5300854045594,7.81177686811535,-1.41700168828446
"L1FLnI_11q22.3v",22.5300854045594,3.90588843405768,-2.26192022624304
"L1FLnI_3q26.32n",21.505990613443,5.85883265108651,-1.71427410628889
"L1FLnI_Xq22.3x",21.505990613443,0.976472108514419,-3.50930956567134
"L1FLnI_15q22.31b",21.505990613443,175.764979532595,2.97345150577231
"L1FLnI_9q31.1a",21.505990613443,63.4706870534373,1.51833429100141
"L1FLnI_18p11.21m",20.4818958223267,2.92941632554326,-2.45073438382987
"L1FLnI_12q23.1ga",20.4818958223267,3.90588843405768,-2.13053498908273
"L1FLnI_Xp11.21f",20.4818958223267,3.90588843405768,-2.13053498908273
"L1FLnI_5q31.1s",19.4578010312104,6.83530475960093,-1.38458978544105
"L1FLnI_15q11.2h",19.4578010312104,6.83530475960093,-1.38458978544105
"L1FLnI_7q21.13p",19.4578010312104,55.6589101853219,1.46965177127437
"L1FLnI_4q21.3a",19.4578010312104,3.90588843405768,-2.06006475024493
"L1FLnI_4p11f",19.4578010312104,8.78824897662977,-1.06352837717497
"L1FLnI_10q26.13b",18.433706240094,0.976472108514419,-3.2975615648951
"L1FLnI_7p14.3b",18.433706240094,7.81177686811535,-1.14105619767476
"L1FLnI_12p11.22h",18.433706240094,178.694395858139,3.20891244465101
"L1FLnI_9p22.2f",18.433706240094,0.976472108514419,-3.2975615648951
"L1FLnI_8q11.21d",17.4096114489777,5.85883265108651,-1.42442421682226
"L1FLnI_5q15qa",17.4096114489777,5.85883265108651,-1.42442421682226
"L1FLnI_9p24.1e",17.4096114489777,787.036519462622,5.41973140633097
"L1FLnI_7q21.11da",17.4096114489777,51.7530217512642,1.51879455768684
"L1FLnI_4p11i",17.4096114489777,1.95294421702884,-2.64023316923655
"L1FLnI_2q11.2e",17.4096114489777,0.976472108514419,-3.21945967620471
"L1FLnI_4q13.3db",17.4096114489777,55.6589101853219,1.62184367457635
"L1FLnI_1p31.2c",17.4096114489777,0.976472108514419,-3.21945967620471
"L1FLnI_15q15.1",16.3855166578614,70.3059918130382,2.03613736952589
"L1FLnI_20p11.21t",16.3855166578614,213.847391764658,3.62735441656293
"L1FLnI_15q15.3d",16.3855166578614,50.7765496427498,1.57441288683053
"L1FLnI_6q14.1pa",16.3855166578614,36.1294680150335,1.09467870333598
"L1FLnI_Xq11.2m",16.3855166578614,101.5530992855,2.56041324614338
"L1FLnI_7q34b",16.3855166578614,53.7059659682931,1.65381223364176
"L1FLnI_13q12.3e",16.3855166578614,6.83530475960093,-1.14982464578149
"L1FLnI_11p13q",15.361421866745,0.976472108514419,-3.04929862768734
"L1FLnI_4q25qa",15.361421866745,5.85883265108651,-1.25426316830488
"L1FLnI_16q12.2d",15.361421866745,37.1059401235479,1.2197177798277
"L1FLnI_18p11.21q",15.361421866745,5.85883265108651,-1.25426316830488
"L1FLnI_9p24.1f",15.361421866745,89.8354339833266,2.47295705889869
"L1FLnI_22p11.2k",15.361421866745,5.85883265108651,-1.25426316830488
"L1FLnI_1q24.2g",14.3373270756287,36.1294680150335,1.27551756667257
"L1FLnI_7q21.13s",14.3373270756287,0.976472108514419,-2.95604757651055
"L1FLnI_3q11.2x",14.3373270756287,0.976472108514419,-2.95604757651055
"L1FLnI_7p14.3d",14.3373270756287,64.4471591619517,2.09328349308774
"L1FLnI_10q24.31a",14.3373270756287,36.1294680150335,1.27551756667257
"L1FLnI_6q14.3xa",14.3373270756287,5.85883265108651,-1.16101211712809
"L1FLnI_7q22.1a",14.3373270756287,8659.35465830587,9.14123521912543
"L1FLnI_2q11.1c",14.3373270756287,0.976472108514419,-2.95604757651055
"L1FLnI_3q12.1c",14.3373270756287,45.8941891001777,1.61236208409498
"L1FLnI_6q24.2j",14.3373270756287,79.0942407896679,2.3846514307963
"L1FLnI_2q32.3da",14.3373270756287,3.90588843405768,-1.64446074724879
"L1FLnI_18q12.2d",14.3373270756287,1.95294421702884,-2.37682106954238
"L1FLnI_12p11.22i",14.3373270756287,3.90588843405768,-1.64446074724879
"L1FLnI_15q25.2j",13.3132322845124,3.90588843405768,-1.54476317462649
"L1FLnI_17p12b",13.3132322845124,3.90588843405768,-1.54476317462649
"L1FLnI_5p15.33b",13.3132322845124,30.270635363947,1.12745902722329
"L1FLnI_13q13.2b",13.3132322845124,1.95294421702884,-2.27712349692009
"L1FLnI_12p13.32f",13.3132322845124,35.1529959065191,1.33676569924043
"L1FLnI_Xq21.1xd",13.3132322845124,0.976472108514419,-2.85635000388826
"L1FLnI_8q24.21e",13.3132322845124,58.5883265108652,2.05768022577051
"L1FLnI_11p14.1m",13.3132322845124,28.3176911469182,1.03442198618633
"L1FLnI_7p21.3e",13.3132322845124,132.800206757961,3.22465893488093
"L1FLnI_3p14.2r",13.3132322845124,2.92941632554326,-1.86496256937363
"L1FLnI_4q26ra",13.3132322845124,3.90588843405768,-1.54476317462649
"L1FLnI_14q12ra",12.289137493396,61.5177428364084,2.23401821945489
"L1FLnI_9q21.12g",12.289137493396,51.7530217512642,1.98900626311941
"L1FLnI_3q26.32u",12.289137493396,1.95294421702884,-2.17002146380398
"L1FLnI_5q12.3q",12.289137493396,1.95294421702884,-2.17002146380398
"L1FLnI_Xq21.1yd",12.289137493396,4.8823605425721,-1.17578035429024
"L1FLnI_6q22.1y",12.289137493396,33.2000516894903,1.36375103335203
"L1FLnI_13q14.11h",12.289137493396,41.98830066612,1.69369660926982
"L1FLnI_3p25.2a",12.289137493396,2.92941632554326,-1.75786053625752
"L1FLnI_Xq23ab",12.289137493396,66.4001033789805,2.34250333199917
"L1FLnI_7q31.2k",12.289137493396,3.90588843405768,-1.43766114151038
"L1FLnI_15q21.3ea",12.289137493396,30.270635363947,1.2345610603394
"L1FLnI_4q24ya",12.289137493396,58.5883265108652,2.16478225888663
"L1FLnI_12p12.2j",12.289137493396,83.0001292237256,2.66014407506921
"L1FLnI_11q14.2s",12.289137493396,1.95294421702884,-2.17002146380398
"L1FLnI_11q14.1r",12.289137493396,2.92941632554326,-1.75786053625752
"L1FLnI_21q22.13b",12.289137493396,30.270635363947,1.2345610603394
"L1FLnI_5q12.3s",12.289137493396,59.5647986193796,2.18823204402657
"L1FLnI_10p11.22d",11.2650427022797,25.3882748213749,1.10534477826254
"L1FLnI_12q13.11e",11.2650427022797,100.576627176985,3.04994431364409
"L1FLnI_9q31.3e",11.2650427022797,29.2941632554326,1.3044876011088
"L1FLnI_16q23.3a",11.2650427022797,97.6472108514419,3.00772600397768
"L1FLnI_17q12b",11.2650427022797,32.2235795809758,1.43765526395958
"L1FLnI_7q34f",11.2650427022797,55.6589101853219,2.20775059541184
"L1FLnI_14q31.3ga",11.2650427022797,3.90588843405768,-1.32196592610747
"L1FLnI_10q23.33c",11.2650427022797,27.3412190384037,1.20834955728015
"L1FLnI_4q21.21c",11.2650427022797,27.3412190384037,1.20834955728015
"L1FLnI_Xp11.3ja",11.2650427022797,33.2000516894903,1.47944624875494
"L1FLnI_3p22.3a",11.2650427022797,1.95294421702884,-2.05432624840106
"L1FLnI_22q11.1j",10.2409479111634,3.90588843405768,-1.19617736756776
"L1FLnI_3q13.33aa",10.2409479111634,118.153125130245,3.40598118741259
"L1FLnI_5q12.3r",10.2409479111634,66.4001033789805,2.58398710594179
"L1FLnI_10q24.1a",10.2409479111634,3.90588843405768,-1.19617736756776
"L1FLnI_6q14.1a",10.2409479111634,26.3647469298893,1.28355481622655
"L1FLnI_4q22.1b",10.2409479111634,1.95294421702884,-1.92853768986136
"L1FLnI_4q32.3p",10.2409479111634,0.976472108514419,-2.50776419682952
"L1FLnI_7q21.2k",10.2409479111634,41.98830066612,1.93518038321243
