transcript,MCF10A,MDAMB436
L1FLnI_15q23j,61031.45355,20284.31547
L1FLnI_12q23.3d,53107.62197,13706.35778
L1FLnI_16p11.2c,40161.33405,21149.29639
L1FLnI_7p14.1v,32794.33206,11689.20859
L1FLnI_8q21.11w,31731.95982,31672.66113
L1FLnI_12q23.1ea,28764.64425,15880.77623
L1FLnI_15q26.2e,27171.08589,25686.17261
L1FLnI_10p11.22u,26738.81029,20072.34386
L1FLnI_6p22.3e,25870.59573,24968.20426
L1FLnI_1q32.3d,25577.52753,12612.31076
L1FLnI_8q11.1k,24456.54165,12458.4604
L1FLnI_Xq23d,23932.68223,6957.455247
L1FLnI_3q22.3h,21712.69059,3042.818265
L1FLnI_8p12u,20511.11095,6157.433366
L1FLnI_8q24.12e,20386.55696,25915.23871
L1ORF2_4q31.21,13660.64167,17737.23726
L1FLnI_11p15.1c,13059.85185,9289.142951
L1FLnI_4p13m,12220.94412,7159.170165
L1FLnI_8p23.1h,11774.01511,1459.868988
L1FLnI_20p11.23d,11627.48101,6099.312118
L1FLnI_1q31.1k,11345.40286,1781.245299
L1FLnI_2q32.1f,9938.675478,16879.09413
L1FLnI_1q24.3e,9759.171203,8092.529026
L1FLnI_12q21.31ea,8949.570289,0
L1FLnI_4q23c,8715.115725,4030.879477
L1FLnI_Xq22.1ga,8506.30463,10160.96167
L1FLnI_8q21.3da,7857.891228,1743.637433
L1FLnI_Xq13.2da,7857.891228,4311.229025
L1FLnI_8q24.12o,7451.259094,5446.302805
L1FLnI_15q11.2i,7451.259094,4153.959766
L1FLnI_3q26.2a,7172.8443,3555.652804
L1FLnI_6q24.2g,7018.983493,4362.512479
L1FLnI_1q42.2c,6117.798765,731.6439424
L1FLnI_14q32.12f,6081.165239,2974.440327
L1FLnI_15q11.2a,5949.284547,3124.871791
L1FLnI_6q22.1ia,5659.879696,0
L1FLnI_12q13.11a,5634.236228,11371.25118
L1FLnI_Xq13.1a,5593.93935,10547.29702
L1FLnI_11q22.2a,5568.295882,7914.746386
L1FLnI_6q25.3e,5520.672298,1555.598102
L1FLI_14q23.2,5462.058658,601.7258592
L1FLnI_3p26.1v,5407.108369,2632.550634
L1FLnI_19q13.11a,5253.247562,1904.325588
L1FLnI_1p34.2d,4894.239012,2622.293943
L1FLnI_Xp11.3q,4381.369654,437.6188067
L1FLnI_20p11.21u,4330.082719,3859.934631
L1FLnI_5q31.1l,4073.64804,2485.538066
L1FLnI_5p12k,4029.687809,1453.031194
L1FLnI_14q12ya,3956.420758,1750.475227
L1FLnI_10q26.12g,3688.996022,4229.175499
L1FLnI_13q34a,3659.689201,635.9148284
L1FLnI_8q23.1y,3571.76874,1572.692586
L1FLnI_1q23.3u,3377.611055,1805.177578
L1FLnI_Xq13.1c,3286.027241,3100.939513
L1FLnI_14q23.3q,3106.522966,1121.398192
L1FLnI_5q13.2d,3099.19626,1846.204341
L1FLnI_19q12p,3077.216145,4352.255788
L1FLnI_8q21.13ja,3051.572677,817.1163656
L1FLnI_13q14.2p,2934.345396,2225.7019
L1FLnI_18q21.32b,2923.355338,1251.316275
L1FLnI_5p12j,2886.721812,4882.184812
L1FLnI_5p13.2v,2868.40505,1107.722604
L1FLnI_18p11.21i,2861.078344,2082.108229
L1FLnI_10q23.31m,2835.434877,1938.514558
L1FLnI_Xq26.3m,2806.128056,1548.760308
L1FLnI_16p11.2l,2773.157883,5217.236711
L1FLnI_7q21.2o,2549.693377,22130.51981
L1FLnI_5q33.1a,2538.70332,2379.552261
L1FLnI_Xq21.1ne,2509.396499,1114.560398
L1FLnI_1p31.1rc,2483.753031,218.8094033
L1FLnI_15q21.1c,2454.446211,1155.587161
L1FLnI_7q33b,2388.505865,1080.371429
L1FLnI_Xq13.1s,2329.892224,410.2676313
L1FLnI_11q21n,2179.694769,721.3872516
L1FLnI_5q15z,2176.031417,1251.316275
L1FLnI_Xq26.2j,2117.417776,1056.43915
L1FLnI_2q11.1b,2062.467488,1309.437523
L1FLnI_10q23.33a,2058.804135,1282.086348
L1FLnI_7q31.1y,1901.279975,608.563653
L1FLnI_Xq21.1pc,1882.963213,728.2250455
L1FLnI_2q36.2,1846.329687,1124.817089
L1FLnI_4q21.3h,1813.359514,263.2550634
L1FLnI_12p13.32g,1813.359514,1200.032821
L1FLnI_3p22.3b,1751.082521,13733.70896
L1FLnI_2q22.3s,1703.458937,11118.25281
L1FLnI_4q35.2k,1663.162059,1083.790326
L1FLnI_4q12e,1648.508649,6.837793854
L1FLnI_1p22.1d,1644.845297,912.8454795
L1FLnI_5q13.3b,1622.865181,728.2250455
L1FLnI_8p11.21k,1527.618015,54.70235083
L1FLnI_Xq13.3pa,1523.954662,1107.722604
L1FLnI_8q22.3j,1516.627957,1015.412387
L1FLnI_18q12.2j,1501.974547,1350.464286
L1FLnI_6q22.31ta,1487.321137,222.2283003
L1FLnI_12q24.13b,1487.321137,12489.23047
L1FLnI_13q12.11h,1447.024259,239.3227849
L1FLnI_3q21.1c,1439.697554,70976.30021
L1FLnI_Yq11.222r,1425.044143,899.1698918
L1FLnI_3q22.3n,1421.380791,345.3085896
L1FLnI_15q15.3a,1388.410618,1613.71935
L1FLnI_6q16.3c,1340.787035,1220.546203
L1FLnI_1p21.2c,1267.519984,485.4833636
L1FLnI_2p21b,1263.856631,547.0235083
L1FLnI_5q23.3c,1256.529926,20.51338156
L1FLnI_12q23.1ia,1227.223105,495.7400544
L1FLnI_20q11.22,1216.233048,1217.127306
L1FLnI_5q15xa,1208.906343,259.8361665
L1FLnI_7q22.2a,1201.579638,776.0896025
L1FLnI_12q24.22a,1197.916285,557.2801991
L1FLnI_6q21f,1194.252933,1418.842225
L1FLnI_7q33c,1172.272817,642.7526223
L1FLnI_11q13.5h,1168.609465,2400.065643
L1FLnI_1q42.2b,1153.956054,461.5510852
L1FLnI_Xp11.3ia,1146.629349,1070.114738
L1FLnI_1q32.2g,1135.639292,745.3195301
L1FLnI_2q33.1t,1131.975939,3518.044938
L1FLnI_12p11.23e,1120.985881,2581.26718
L1FLnI_Xq25o,1113.659176,393.1731466
L1FLnI_15q13.2e,1073.362298,1630.813834
L1FLnI_6q14.1b,1062.372241,5545.450816
L1FLnI_14q11.2c,1051.382183,123.0802894
L1FLnI_6q14.2j,1033.06542,711.1305608
L1FLnI_Xq22.1n,1022.075362,567.5368899
L1FLnI_3q26.2g,1011.085305,639.3337254
L1FLnI_5q13.2a,989.1051895,1100.884811
L1FLnI_5q22.1j,974.4517793,512.8345391
L1FLnI_4q28.1la,952.471664,615.4014469
