"locus","count_MCF10A","count_MDAMB436"
"L1FLnI_15q23j",16660,5933
"L1FLnI_12q23.3d",14497,4009
"L1FLnI_16p11.2c",10963,6186
"L1FLnI_7p14.1v",8952,3419
"L1FLnI_8q21.11w",8662,9264
"L1FLnI_12q23.1ea",7852,4645
"L1FLnI_15q26.2e",7417,7513
"L1FLnI_10p11.22u",7299,5871
"L1FLnI_6p22.3e",7062,7303
"L1FLnI_1q32.3d",6982,3689
"L1FLnI_8q11.1k",6676,3644
"L1FLnI_Xq23d",6533,2035
"L1FLnI_3q22.3h",5927,890
"L1FLnI_8p12u",5599,1801
"L1FLnI_8q24.12e",5565,7580
"L1ORF2_4q31.21",3729,5188
"L1FLnI_11p15.1c",3565,2717
"L1FLnI_4p13m",3336,2094
"L1FLnI_8p23.1h",3214,427
"L1FLnI_20p11.23d",3174,1784
"L1FLnI_1q31.1k",3097,521
"L1FLnI_2q32.1f",2713,4937
"L1FLnI_1q24.3e",2664,2367
"L1FLnI_12q21.31ea",2443,0
"L1FLnI_4q23c",2379,1179
"L1FLnI_Xq22.1ga",2322,2972
"L1FLnI_8q21.3da",2145,510
"L1FLnI_Xq13.2da",2145,1261
"L1FLnI_8q24.12o",2034,1593
"L1FLnI_15q11.2i",2034,1215
"L1FLnI_3q26.2a",1958,1040
"L1FLnI_6q24.2g",1916,1276
"L1FLnI_1q42.2c",1670,214
"L1FLnI_14q32.12f",1660,870
"L1FLnI_15q11.2a",1624,914
"L1FLnI_6q22.1ia",1545,1
"L1FLnI_12q13.11a",1538,3326
"L1FLnI_Xq13.1a",1527,3085
"L1FLnI_11q22.2a",1520,2315
"L1FLnI_6q25.3e",1507,455
"L1FLI_14q23.2",1491,176
"L1FLnI_3p26.1v",1476,770
"L1FLnI_19q13.11a",1434,557
"L1FLnI_1p34.2d",1336,767
"L1FLnI_Xp11.3q",1196,128
"L1FLnI_20p11.21u",1182,1129
"L1FLnI_5q31.1l",1112,727
"L1FLnI_5p12k",1100,425
"L1FLnI_14q12ya",1080,512
"L1FLnI_10q26.12g",1007,1237
"L1FLnI_13q34a",999,186
"L1FLnI_8q23.1y",975,460
"L1FLnI_1q23.3u",922,528
"L1FLnI_Xq13.1c",897,907
"L1FLnI_14q23.3q",848,328
"L1FLnI_5q13.2d",846,540
"L1FLnI_19q12p",840,1273
"L1FLnI_8q21.13ja",833,239
"L1FLnI_13q14.2p",801,651
"L1FLnI_18q21.32b",798,366
"L1FLnI_5p12j",788,1428
"L1FLnI_5p13.2v",783,324
"L1FLnI_18p11.21i",781,609
"L1FLnI_10q23.31m",774,567
"L1FLnI_Xq26.3m",766,453
"L1FLnI_16p11.2l",757,1526
"L1FLnI_7q21.2o",696,6473
"L1FLnI_5q33.1a",693,696
"L1FLnI_Xq21.1ne",685,326
"L1FLnI_1p31.1rc",678,64
"L1FLnI_15q21.1c",670,338
"L1FLnI_7q33b",652,316
"L1FLnI_Xq13.1s",636,120
"L1FLnI_11q21n",595,211
"L1FLnI_5q15z",594,366
"L1FLnI_Xq26.2j",578,309
"L1FLnI_2q11.1b",563,383
"L1FLnI_10q23.33a",562,375
"L1FLnI_7q31.1y",519,178
"L1FLnI_Xq21.1pc",514,213
"L1FLnI_2q36.2",504,329
"L1FLnI_4q21.3h",495,77
"L1FLnI_12p13.32g",495,351
"L1FLnI_3p22.3b",478,4017
"L1FLnI_2q22.3s",465,3252
"L1FLnI_4q35.2k",454,317
"L1FLnI_4q12e",450,2
"L1FLnI_1p22.1d",449,267
"L1FLnI_5q13.3b",443,213
"L1FLnI_8p11.21k",417,16
"L1FLnI_Xq13.3pa",416,324
"L1FLnI_8q22.3j",414,297
"L1FLnI_18q12.2j",410,395
"L1FLnI_6q22.31ta",406,65
"L1FLnI_12q24.13b",406,3653
"L1FLnI_13q12.11h",395,70
"L1FLnI_3q21.1c",393,20760
"L1FLnI_Yq11.222r",389,263
"L1FLnI_3q22.3n",388,101
"L1FLnI_15q15.3a",379,472
"L1FLnI_6q16.3c",366,357
"L1FLnI_1p21.2c",346,142
"L1FLnI_2p21b",345,160
"L1FLnI_5q23.3c",343,6
"L1FLnI_12q23.1ia",335,145
"L1FLnI_20q11.22",332,356
"L1FLnI_5q15xa",330,76
"L1FLnI_7q22.2a",328,227
"L1FLnI_12q24.22a",327,163
"L1FLnI_6q21f",326,415
"L1FLnI_7q33c",320,188
"L1FLnI_11q13.5h",319,702
"L1FLnI_1q42.2b",315,135
"L1FLnI_Xp11.3ia",313,313
"L1FLnI_1q32.2g",310,218
"L1FLnI_2q33.1t",309,1029
"L1FLnI_12p11.23e",306,755
"L1FLnI_Xq25o",304,115
"L1FLnI_15q13.2e",293,477
"L1FLnI_6q14.1b",290,1622
"L1FLnI_14q11.2c",287,36
"L1FLnI_6q14.2j",282,208
"L1FLnI_Xq22.1n",279,166
"L1FLnI_3q26.2g",276,187
"L1FLnI_5q13.2a",270,322
"L1FLnI_5q22.1j",266,150
"L1FLnI_4q28.1la",260,180
"L1FLnI_Xq21.1pd",260,604
"L1FLnI_20q13.13",252,351
"L1FLnI_6q15i",249,161
"L1FLnI_1p21.3b",245,158
"L1FLnI_13q14.2o",243,130
"L1FLnI_Xq27.3q",240,73
"L1FLnI_9q21.13k",238,173
"L1FLnI_3q13.33d",236,214
"L1FLnI_12q14.1la",230,201
"L1FLnI_5q31.1a",224,462
"L1FLnI_2q14.1ga",223,199
"L1FLnI_8q22.2h",222,239
"L1FLnI_11q21b",220,49
"L1FLnI_1q25.1h",218,124
"L1FLnI_Xq22.1y",216,77
"L1FLnI_9q22.32c",214,835
"L1FLnI_1p11.2g",213,2
"L1FLnI_Xq28sa",212,670
