Locus,GSK_rep1,GSK_rep2,LLY_rep1,LLY_rep2
L1FLnI_10p11.22u,38569.3963,44631.97286,31572.7878,45977.07014
L1FLnI_12q13.11a,13902.96946,24692.64135,13946.29729,25348.36139
L1FLnI_12q23.3d,13441.03604,16230.23785,9853.05043,17317.29842
L1FLnI_Xq13.1a,13371.54163,17411.47787,15067.85267,19358.22929
L1FLnI_Xq23d,12325.03761,19008.51438,19069.30983,20526.66221
L1FLnI_Xq13.3pa,10828.86389,24031.14694,12061.74005,25496.32888
L1FLnI_14q32.12f,10043.98587,9142.797743,6540.016006,10245.47296
L1FLnI_3q21.1c,7693.439728,6728.343146,6339.226041,6551.388088
L1FLnI_6p22.3e,7072.077965,14765.50023,12712.87322,16526.43771
L1FLnI_2q32.1f,6712.342207,7082.715151,9434.259931,8525.988703
L1FLnI_8q24.12o,6352.606449,6336.171459,6118.357079,7883.09548
L1FLnI_Xq28sa,6172.73857,6109.373376,5814.303703,5990.132099
L1FLnI_8q23.1b,5996.958598,10418.53696,5865.935409,9148.472618
L1FLnI_9q22.32c,5526.849369,2948.375086,3746.167063,3066.49863
L1FLnI_18q21.32b,4930.015043,4767.484715,4635.379766,5209.476042
L1FLnI_1p31.1rc,4868.696448,8410.428932,6910.043227,9041.323748
L1FLnI_6q24.2g,4676.564851,5112.4068,5016.880699,6184.020532
L1FLnI_6q25.3e,4558.015567,5523.478327,4818.959162,5903.392537
L1FLnI_1q24.3e,4521.22441,4365.863108,3588.403519,4683.936343
L1FLnI_6q21f,4398.58722,6567.694503,4004.32559,6515.671798
L1FLnI_1p22.1d,4398.58722,8254.505249,4038.746726,7592.262831
L1FLnI_4q35.2k,4296.389561,5528.203287,5447.14491,5398.262147
L1FLnI_12p13.32g,4284.125842,4488.71207,4265.352544,4541.071183
L1FLnI_5q33.1a,4202.367715,5665.227129,3470.797968,5250.294659
L1FLnI_20q13.13,4100.170057,3255.497491,3771.982916,3387.945242
L1FLnI_8p23.1h,4022.499836,2891.675565,3619.956228,2995.06605
L1FLnI_3q26.32p,3948.917522,2149.856834,2902.84921,2066.442504
L1FLnI_6q15i,3719.994767,3137.373489,3132.323455,2836.893907
L1FLnI_Xq23ab,3531.951076,2693.227242,3737.561779,2520.549623
