## RunInfo	version:1.0.3	nmap_idx:57452618	nunmap_idx:0	annotated_features:13545	total_fragments:57452618	pair_mapped:57437622	pair_mixed:14996	single_mapped:0	unmapped:0	unique:57452618	ambig:0	overlap_unique:244624	overlap_ambig:0
transcript	transcript_length	final_count	final_conf	final_prop	init_aligned	unique_count	init_best	init_best_random	init_best_avg	init_prop
L1FLnI_10p11.22u	10178	9435	9435.00	0.0554	9435	9435	9435	9435	9435.00	0.0554
L1FLnI_12q13.11a	10137	3401	3401.00	0.0191	3401	3401	3401	3401	3401.00	0.0191
L1FLnI_12q23.3d	10138	3288	3288.00	0.011	3288	3288	3288	3288	3288.00	0.011
L1FLnI_Xq13.1a	10407	3271	3271.00	0.0104	3271	3271	3271	3271	3271.00	0.0104
L1FLnI_Xq23d	10025	3015	3015.00	0.0109	3015	3015	3015	3015	3015.00	0.0109
L1FLnI_Xq13.3pa	8895	2649	2649.00	0.00782	2649	2649	2649	2649	2649.00	0.00782
L1FLnI_14q32.12f	9876	2457	2457.00	0.0098	2457	2457	2457	2457	2457.00	0.0098
L1FLnI_3q21.1c	10178	1882	1882.00	0.00555	1882	1882	1882	1882	1882.00	0.00555
L1FLnI_6p22.3e	9889	1730	1730.00	0.0105	1730	1730	1730	1730	1730.00	0.0105
L1FLnI_2q32.1f	10168	1642	1642.00	0.00764	1642	1642	1642	1642	1642.00	0.00764
L1FLnI_8q24.12o	10785	1554	1554.00	0.00591	1554	1554	1554	1554	1554.00	0.00591
L1FLnI_Xq28sa	9220	1510	1510.00	0.00424	1510	1510	1510	1510	1510.00	0.00424
L1FLnI_8q23.1b	10144	1467	1467.00	0.00543	1467	1467	1467	1467	1467.00	0.00543
L1FLnI_9q22.32c	10020	1352	1352.00	0.00559	1352	1352	1352	1352	1352.00	0.00559
L1FLnI_18q21.32b	8591	1206	1206.00	0.0108	1206	1206	1206	1206	1206.00	0.0108
L1FLnI_1p31.1rc	10009	1191	1191.00	0.00397	1191	1191	1191	1191	1191.00	0.00397
L1FLnI_6q24.2g	9494	1144	1144.00	0.00572	1144	1144	1144	1144	1144.00	0.00572
L1FLnI_6q25.3e	9025	1115	1115.00	0.00314	1115	1115	1115	1115	1115.00	0.00314
L1FLnI_1q24.3e	10088	1106	1106.00	0.00429	1106	1106	1106	1106	1106.00	0.00429
L1FLnI_6q21f	8527	1076	1076.00	0.00849	1076	1076	1076	1076	1076.00	0.00849
L1FLnI_1p22.1d	10082	1076	1076.00	0.00359	1076	1076	1076	1076	1076.00	0.00359
