## RunInfo	version:1.0.3	annotated_features:13545	total_fragments:67923583	pair_mapped:49241292	pair_mixed:18682291	single_mapped:0	unmapped:0	unique:67923583	ambig:0	overlap_unique:296098	overlap_ambig:0
transcript	transcript_length	final_count	final_conf	final_prop	init_aligned	unique_count	init_best	init_best_random	init_best_avg	init_prop
L1FLnI_3q21.1c	10178	20760	20760.00	0.0893	20760	20760	20760	20760	20760.00	0.0893
L1FLnI_8q21.11w	10016	9264	9264.00	0.0146	9264	9264	9264	9264	9264.00	0.0146
L1FLnI_7q22.1a	10115	8868	8868.00	0.0407	8868	8868	8868	8868	8868.00	0.0407
L1FLnI_8q24.12e	9969	7580	7580.00	0.0259	7580	7580	7580	7580	7580.00	0.0259
L1FLnI_15q26.2e	10019	7513	7513.00	0.00769	7513	7513	7513	7513	7513.00	0.00769
L1FLnI_6p22.3e	9889	7303	7303.00	0.0316	7303	7303	7303	7303	7303.00	0.0316
L1FLnI_7q21.2o	10110	6473	6473.00	0.0271	6473	6473	6473	6473	6473.00	0.0271
L1FLnI_16p11.2c	8579	6186	6186.00	0.00371	6186	6186	6186	6186	6186.00	0.00371
L1FLnI_15q23j	8814	5933	5933.00	0.0244	5933	5933	5933	5933	5933.00	0.0244
L1FLnI_10p11.22u	10178	5871	5871.00	0.023	5871	5871	5871	5871	5871.00	0.023
L1ORF2_4q31.21	8044	5188	5188.00	0.00694	5188	5188	5188	5188	5188.00	0.00694
L1FLnI_2q32.1f	10168	4937	4937.00	0.0212	4937	4937	4937	4937	4937.00	0.0212
L1FLnI_12q23.1ea	10055	4645	4645.00	0.0011	4645	4645	4645	4645	4645.00	0.0011
L1FLnI_3p22.3b	9515	4017	4017.00	0.00473	4017	4017	4017	4017	4017.00	0.00473
L1FLnI_12q23.3d	10138	4009	4009.00	0.02	4009	4009	4009	4009	4009.00	0.02
L1FLnI_1p22.2l	10035	3918	3918.00	0.0112	3918	3918	3918	3918	3918.00	0.0112
L1FLnI_1q32.3d	9464	3689	3689.00	0.0186	3689	3689	3689	3689	3689.00	0.0186
L1FLnI_12q24.13b	8885	3653	3653.00	0.0149	3653	3653	3653	3653	3653.00	0.0149
L1FLnI_8q11.1k	9978	3644	3644.00	0.00589	3644	3644	3644	3644	3644.00	0.00589
L1FLnI_1p13.3j	10160	3571	3571.00	0.0155	3571	3571	3571	3571	3571.00	0.0155
L1FLnI_7p14.1v	9369	3419	3419.00	0.0023	3419	3419	3419	3419	3419.00	0.0023
L1FLnI_12q13.11a	10137	3326	3326.00	0.014	3326	3326	3326	3326	3326.00	0.014
L1FLnI_2q22.3s	9432	3252	3252.00	8.64e-07	3252	3252	3252	3252	3252.00	8.64e-07
L1FLnI_Xq13.1a	10407	3085	3085.00	0.0135	3085	3085	3085	3085	3085.00	0.0135
L1FLnI_21q22.3a	10280	3071	3071.00	0.0143	3071	3071	3071	3071	3071.00	0.0143
L1FLnI_Xq22.1ga	9414	2972	2972.00	0.00359	2972	2972	2972	2972	2972.00	0.00359
L1FLnI_11p15.1c	10114	2717	2717.00	8.2e-05	2717	2717	2717	2717	2717.00	8.2e-05
L1FLnI_8q22.3d	10189	2615	2615.00	0.0119	2615	2615	2615	2615	2615.00	0.0119
L1FLnI_1q24.3e	10088	2367	2367.00	0.0121	2367	2367	2367	2367	2367.00	0.0121
L1FLnI_11q22.2a	10025	2315	2315.00	0.0103	2315	2315	2315	2315	2315.00	0.0103
L1FLnI_4p13m	10098	2094	2094.00	0.00194	2094	2094	2094	2094	2094.00	0.00194
L1FLnI_Xq23d	10025	2035	2035.00	0.00926	2035	2035	2035	2035	2035.00	0.00926
L1FLnI_8p12u	10456	1801	1801.00	0.00161	1801	1801	1801	1801	1801.00	0.00161
L1FLnI_20p11.23d	10099	1784	1784.00	0.00801	1784	1784	1784	1784	1784.00	0.00801
L1FLnI_6q14.1b	10003	1622	1622.00	0.00666	1622	1622	1622	1622	1622.00	0.00666
L1FLnI_8q24.12o	10785	1593	1593.00	0.00727	1593	1593	1593	1593	1593.00	0.00727
L1FLnI_2q37.1e	10108	1593	1593.00	0.00672	1593	1593	1593	1593	1593.00	0.00672
L1FLnI_16p11.2l	8706	1526	1526.00	0.00649	1526	1526	1526	1526	1526.00	0.00649
L1FLnI_5p12j	8556	1428	1428.00	0.00654	1428	1428	1428	1428	1428.00	0.00654
L1FLnI_20p11.21a	10115	1356	1356.00	0.00103	1356	1356	1356	1356	1356.00	0.00103
L1FLnI_6q24.2g	9494	1276	1276.00	0.00461	1276	1276	1276	1276	1276.00	0.00461
L1FLnI_19q12p	8638	1273	1273.00	0.000149	1273	1273	1273	1273	1273.00	0.000149
L1FLnI_Xq13.2da	9087	1261	1261.00	0.000899	1261	1261	1261	1261	1261.00	0.000899
L1FLnI_10q26.12g	10020	1237	1237.00	0.00552	1237	1237	1237	1237	1237.00	0.00552
L1FLnI_15q11.2i	10389	1215	1215.00	0.00195	1215	1215	1215	1215	1215.00	0.00195
L1FLnI_4q23c	10121	1179	1179.00	0.000444	1179	1179	1179	1179	1179.00	0.000444
L1FLnI_20p11.21u	8733	1129	1129.00	0.00316	1129	1129	1129	1129	1129.00	0.00316
